model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.621579780003533,0.0,0,9950
global,2,5.619624610785863,0.0,0,9950
global,3,5.6183508837522576,0.0,0,9950
global,4,5.616912452276028,0.0,0,9950
global,5,5.617478864660215,0.0,0,9950
global,6,5.613946402851661,0.0,0,9950
global,7,5.608677661071471,0.0,0,9950
global,8,5.606416136775184,0.0,0,9950
global,9,5.605407026281309,0.0,0,9950
global,10,5.605391043658233,0.0,0,9950
global,11,5.605325309715079,0.0,0,9950
global,12,5.604778650945155,0.0,0,9950
global,13,5.6042063604767,0.0,0,9950
global,14,5.599795891076476,0.0,0,9950
global,15,5.597863442885815,0.0,0,9950
global,16,5.592950671018667,0.0,0,9950
global,17,5.589461876950671,0.0,0,9950
global,18,5.589158776058024,0.0,0,9950
global,19,5.588538120595654,0.0,0,9950
global,20,5.588210021359237,0.0,0,9950
global,21,5.585451226162551,0.0,0,9950
global,22,5.58470706805512,0.0,0,9950
global,23,5.584156271776362,0.0,0,9950
global,24,5.584986458783174,0.0,0,9950
global,25,5.585161108275754,0.0,0,9950
global,26,5.584139973242678,0.0,0,9950
17,27,0.12258764492207436,99.20603015075376,9871,9950
17,27,nan,0.0,0,9950
global,27,5.580270378074454,0.0,0,9950
global,28,5.5800789239777995,0.0,0,9950
global,29,5.577611692802391,0.0,0,9950
global,30,5.577394660681336,0.0,0,9950
global,31,5.576172453147083,0.0,0,9950
global,32,5.5757558621353835,0.0,0,9950
global,33,5.575932348816838,0.0,0,9950
global,34,5.576361818553215,0.0,0,9950
global,35,5.576463577040476,0.0,0,9950
global,36,5.575659489463921,0.0,0,9950
global,37,5.572051756585663,0.0,0,9950
global,38,5.571496155705284,0.0,0,9950
global,39,5.569957223250039,0.0,0,9950
global,40,5.568472754703694,0.0,0,9950
global,41,5.568730755523221,0.0,0,9950
global,42,5.56857648226484,0.0,0,9950
global,43,5.568344502664691,0.0,0,9950
global,44,5.568947853586781,0.0,0,9950
global,45,5.568314550965275,0.0,0,9950
global,46,5.568190677201928,0.0,0,9950
global,47,5.566903278600031,0.0,0,9950
global,48,5.565527912695803,0.0,0,9950
global,49,5.565591930600267,0.0,0,9950
global,50,5.564573868794657,0.0,0,9950
global,51,5.564279073590609,0.0,0,9950
global,52,5.56282230243012,0.0,0,9950
global,53,5.562859409658154,0.0,0,9950
global,54,5.563388909574729,0.0,0,9950
global,55,5.562784962102995,0.0,0,9950
global,56,5.562859171958425,0.0,0,9950
global,57,5.561374228012622,0.0,0,9950
global,58,5.5570330304476485,0.0,0,9950
global,59,5.557089639788297,0.0,0,9950
global,60,5.555011398852171,0.0,0,9950
global,61,5.555301318911452,0.0,0,9950
global,62,5.552963729168303,0.0,0,9950
global,63,5.551579507032232,0.0,0,9950
global,64,5.551415727318232,0.0,0,9950
