local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
83,1,1,1,0.05420579016208649,21.812596006144393,426,1953
83,2,1,2,0.033878397196531296,39.784946236559136,777,1953
85,1,1,1,0.054068125784397125,22.686116700201207,451,1988
85,2,1,2,0.035298507660627365,33.5010060362173,666,1988
64,1,1,1,0.06521832197904587,17.83840503672613,170,953
64,2,1,2,0.03783205524086952,32.84365162644281,313,953
95,1,1,1,0.05299996957182884,53.42237061769616,320,599
95,2,1,2,0.029153577983379364,81.80300500834724,490,599
54,1,1,1,0.054934583604335785,29.646017699115045,335,1130
54,2,1,2,0.029034940525889397,42.743362831858406,483,1130
55,1,1,1,0.056738901883363724,21.475256769374415,230,1071
55,2,1,2,0.029596982523798943,43.790849673202615,469,1071
27,1,1,1,0.05334954708814621,27.473219911783236,436,1587
27,2,1,2,0.033870283514261246,38.50031505986137,611,1587
92,1,1,1,0.05199012532830238,26.06413994169096,447,1715
92,2,1,2,0.031019657850265503,42.62390670553936,731,1715
15,1,1,1,0.05714438855648041,27.55632582322357,318,1154
15,2,1,2,0.031230337917804718,31.022530329289427,358,1154
78,1,1,1,0.08403142541646957,7.6923076923076925,32,416
78,2,1,2,0.046559978276491165,41.82692307692308,174,416
64,3,2,1,0.06535022705793381,17.733473242392446,169,953
64,4,2,2,0.03837968409061432,32.10912906610703,306,953
47,3,2,1,0.12218813598155975,0.0,0,134
47,4,2,2,0.11349064856767654,9.701492537313433,13,134
43,3,2,1,0.06127793714404106,32.55813953488372,308,946
43,4,2,2,0.036725252866744995,35.20084566596194,333,946
23,3,2,1,0.060855377465486526,44.05594405594406,315,715
23,4,2,2,0.03792969509959221,61.25874125874125,438,715
24,3,2,1,0.07699663192033768,9.935897435897436,31,312
24,4,2,2,0.04092571884393692,52.88461538461539,165,312
98,3,2,1,0.08303035795688629,4.021447721179625,15,373
98,4,2,2,0.049087099730968475,41.28686327077748,154,373
84,3,2,1,0.06273335218429565,26.218487394957986,312,1190
84,4,2,2,0.03292996436357498,37.3109243697479,444,1190
28,3,2,1,0.056760769337415695,23.52941176470588,372,1581
28,4,2,2,0.033805131912231445,37.95066413662239,600,1581
6,3,2,1,0.05573366954922676,19.222903885480573,376,1956
6,4,2,2,0.03238004818558693,33.12883435582822,648,1956
17,3,2,1,0.05162797123193741,23.951715374841168,377,1574
17,4,2,2,0.02861648052930832,37.99237611181703,598,1574
75,5,3,1,0.06306307762861252,30.412371134020617,236,776
75,6,3,2,0.029232313856482506,54.123711340206185,420,776
58,5,3,1,0.05863067880272865,43.08841843088418,346,803
58,6,3,2,0.03379157558083534,51.30759651307597,412,803
7,5,3,1,0.053982969373464584,38.60830527497194,344,891
7,6,3,2,0.025904914364218712,50.953984287317624,454,891
84,5,3,1,0.06339623779058456,25.966386554621852,309,1190
84,6,3,2,0.03301144018769264,35.96638655462185,428,1190
94,5,3,1,0.055618491023778915,18.832731648616125,313,1662
94,6,3,2,0.03369797766208649,34.05535499398315,566,1662
13,5,3,1,0.05881301313638687,17.99392097264438,296,1645
13,6,3,2,0.03293369710445404,37.629179331306986,619,1645
3,5,3,1,0.07638160139322281,12.163892445582587,95,781
3,6,3,2,0.03663816675543785,31.88220230473752,249,781
69,5,3,1,0.0561634786427021,46.61016949152542,275,590
69,6,3,2,0.031194111332297325,76.27118644067797,450,590
93,5,3,1,0.05542561039328575,23.88059701492537,416,1742
93,6,3,2,0.03158213570713997,40.41331802525832,704,1742
10,5,3,1,0.05746801942586899,23.34494773519164,201,861
10,6,3,2,0.02144644968211651,52.49709639953542,452,861
20,7,4,1,0.05658235773444176,41.883519206939276,338,807
20,8,4,2,0.03209606185555458,52.41635687732342,423,807
64,7,4,1,0.06546467542648315,17.94333683105981,171,953
64,8,4,2,0.03785320371389389,32.52885624344176,310,953
31,7,4,1,0.08274536579847336,11.08695652173913,51,460
31,8,4,2,0.03699861839413643,40.869565217391305,188,460
75,7,4,1,0.06304477155208588,31.314432989690722,243,776
75,8,4,2,0.02989121526479721,52.9639175257732,411,776
6,7,4,1,0.055935271084308624,20.756646216768917,406,1956
6,8,4,2,0.03283918648958206,31.186094069529652,610,1956
23,7,4,1,0.06294748187065125,44.89510489510489,321,715
23,8,4,2,0.038707368075847626,61.25874125874125,438,715
40,7,4,1,0.055593881756067276,21.678321678321677,341,1573
40,8,4,2,0.03444073721766472,37.25365543547362,586,1573
51,7,4,1,0.060124125331640244,20.972354623450904,220,1049
51,8,4,2,0.03124808333814144,46.04385128693994,483,1049
12,7,4,1,0.08869902789592743,5.621301775147929,19,338
12,8,4,2,0.048793114721775055,40.23668639053255,136,338
63,7,4,1,0.055151280015707016,28.716216216216218,255,888
63,8,4,2,0.025504503399133682,49.211711711711715,437,888
61,9,5,1,0.1250348687171936,1.1764705882352942,1,85
61,10,5,2,0.11839761584997177,5.88235294117647,5,85
96,9,5,1,0.07909861952066422,13.826366559485532,43,311
96,10,5,2,0.054476868361234665,43.40836012861736,135,311
54,9,5,1,0.055394381284713745,29.20353982300885,330,1130
54,10,5,2,0.028934704139828682,45.48672566371682,514,1130
1,9,5,1,0.0577843114733696,30.81896551724138,286,928
1,10,5,2,0.024800335988402367,56.68103448275862,526,928
51,9,5,1,0.06063423305749893,20.972354623450904,220,1049
51,10,5,2,0.02996090054512024,50.14299332697807,526,1049
20,9,5,1,0.056969206780195236,42.50309789343247,343,807
20,10,5,2,0.0321631133556366,54.27509293680297,438,807
46,9,5,1,0.0559479258954525,20.430672268907564,389,1904
46,10,5,2,0.031740687787532806,34.97899159663865,666,1904
92,9,5,1,0.052347581833601,26.880466472303205,461,1715
92,10,5,2,0.03117903508245945,40.816326530612244,700,1715
90,9,5,1,0.056634701788425446,45.79025110782865,310,677
90,10,5,2,0.023045826703310013,66.32200886262925,449,677
82,9,5,1,0.07714266330003738,12.0,60,500
82,10,5,2,0.04908527806401253,34.4,172,500
41,11,6,1,0.060445211827754974,45.34075104311544,326,719
41,12,6,2,0.030230410397052765,64.53407510431154,464,719
84,11,6,1,0.06218058615922928,27.142857142857142,323,1190
84,12,6,2,0.03238973394036293,37.81512605042017,450,1190
93,11,6,1,0.05525737628340721,24.799081515499427,432,1742
93,12,6,2,0.03167629614472389,40.068886337543056,698,1742
94,11,6,1,0.055316559970378876,19.0734055354994,317,1662
94,12,6,2,0.03334130346775055,36.040914560770155,599,1662
55,11,6,1,0.05635550618171692,22.03548085901027,236,1071
55,12,6,2,0.029291784390807152,47.43230625583566,508,1071
85,11,6,1,0.05398053303360939,21.026156941649898,418,1988
