local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
83,1,1,1,0.05433986335992813,21.402969790066564,418,1953
83,2,1,2,0.03409630060195923,38.760880696364566,757,1953
85,1,1,1,0.05405185744166374,22.83702213279678,454,1988
85,2,1,2,0.035443224012851715,32.84708249496982,653,1988
64,1,1,1,0.06522084772586823,17.103882476390346,163,953
64,2,1,2,0.03802667185664177,33.47324239244492,319,953
95,1,1,1,0.052997488528490067,53.42237061769616,320,599
95,2,1,2,0.029142241925001144,81.80300500834724,490,599
54,1,1,1,0.05479241535067558,29.646017699115045,335,1130
54,2,1,2,0.028905723243951797,42.65486725663717,482,1130
55,1,1,1,0.05667756497859955,22.3155929038282,239,1071
55,2,1,2,0.029560059309005737,45.0046685340803,482,1071
27,1,1,1,0.05344253033399582,26.96912413358538,428,1587
27,2,1,2,0.03392831236124039,38.248267170762446,607,1587
92,1,1,1,0.05203578248620033,26.005830903790088,446,1715
92,2,1,2,0.03098624385893345,41.690962099125365,715,1715
15,1,1,1,0.057102639228105545,27.55632582322357,318,1154
15,2,1,2,0.030789261683821678,32.14904679376083,371,1154
78,1,1,1,0.08402346074581146,8.173076923076923,34,416
78,2,1,2,0.046715572476387024,40.38461538461539,168,416
