local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
84,1,1,1,0.06268620491027832,26.554621848739497,316,1190
84,2,1,2,0.03250618651509285,39.075630252100844,465,1190
86,1,1,1,0.0629485696554184,35.3938185443669,355,1003
86,2,1,2,0.035035453736782074,36.191425722831504,363,1003
65,1,1,1,0.05639249086380005,25.08474576271186,370,1475
65,2,1,2,0.031248483806848526,44.67796610169491,659,1475
96,1,1,1,0.0788409560918808,15.112540192926044,47,311
96,2,1,2,0.05408414080739021,43.40836012861736,135,311
55,1,1,1,0.057375017553567886,21.38188608776844,229,1071
55,2,1,2,0.029020920395851135,45.28478057889823,485,1071
56,1,1,1,0.08363600820302963,0.0,0,186
56,2,1,2,0.06798713654279709,33.87096774193548,63,186
28,1,1,1,0.056453950703144073,25.996204933586338,411,1581
28,2,1,2,0.03395485877990723,36.68564199873498,580,1581
93,1,1,1,0.05593256652355194,22.158438576349024,386,1742
93,2,1,2,0.03196321800351143,38.86337543053961,677,1742
16,1,1,1,0.06586220860481262,38.70056497175141,274,708
16,2,1,2,0.03675074502825737,60.16949152542372,426,708
79,1,1,1,0.1017482727766037,8.121827411167512,16,197
79,2,1,2,0.08341127634048462,30.96446700507614,61,197
65,3,2,1,0.056676823645830154,24.54237288135593,362,1475
65,4,2,2,0.03304105997085571,43.11864406779661,636,1475
48,3,2,1,0.07025511562824249,15.372424722662439,97,631
48,4,2,2,0.04104802384972572,35.97464342313788,227,631
44,3,2,1,0.06022406369447708,20.114285714285714,352,1750
44,4,2,2,0.035629577934741974,37.885714285714286,663,1750
24,3,2,1,0.07934772968292236,6.41025641025641,20,312
24,4,2,2,0.04252402484416962,51.60256410256411,161,312
25,3,2,1,0.05605300888419151,43.913043478260875,303,690
25,4,2,2,0.02933450974524021,66.3768115942029,458,690
99,3,2,1,0.06856126338243484,21.08667529107374,163,773
99,4,2,2,0.03025754913687706,55.368693402328596,428,773
85,3,2,1,0.05417602136731148,22.686116700201207,451,1988
85,4,2,2,0.035325489938259125,33.098591549295776,658,1988
29,3,2,1,0.04937392845749855,28.125,405,1440
29,4,2,2,0.02764277532696724,46.666666666666664,672,1440
7,3,2,1,0.05358387902379036,36.81257014590348,328,891
7,4,2,2,0.025985073298215866,51.627384960718295,460,891
20,3,2,1,0.05565262958407402,47.33581164807931,382,807
20,4,2,2,0.03237459808588028,51.548946716232955,416,807
76,5,3,1,0.089950330555439,7.081545064377683,33,466
76,6,3,2,0.050782691687345505,38.62660944206009,180,466
59,5,3,1,0.05390603095293045,26.078971533516988,284,1089
59,6,3,2,0.02870536595582962,42.05693296602387,458,1089
8,5,3,1,0.06083671748638153,17.25049570389954,261,1513
8,6,3,2,0.03645274415612221,30.469266358228687,461,1513
85,5,3,1,0.05385322868824005,22.082494969818914,439,1988
85,6,3,2,0.03577229753136635,32.69617706237425,650,1988
95,5,3,1,0.05329393967986107,53.255425709515855,319,599
95,6,3,2,0.028072752058506012,81.80300500834724,490,599
14,5,3,1,0.06350240111351013,20.73050345508391,210,1013
14,6,3,2,0.03598600625991821,32.181638696939785,326,1013
4,5,3,1,0.0626165047287941,37.624861265260826,339,901
4,6,3,2,0.031858257949352264,45.061043285238625,406,901
70,5,3,1,0.05707411468029022,22.002820874471084,312,1418
70,6,3,2,0.03114282339811325,43.51198871650212,617,1418
94,5,3,1,0.056559786200523376,19.855595667870034,330,1662
94,6,3,2,0.03394465893507004,34.59687123947052,575,1662
11,5,3,1,0.051954325288534164,50.0,356,712
11,6,3,2,0.02596333622932434,59.8314606741573,426,712
21,7,4,1,0.05493655428290367,19.90764494612622,388,1949
21,8,4,2,0.033288903534412384,33.09389430477167,645,1949
65,7,4,1,0.056872811168432236,25.22033898305085,372,1475
65,8,4,2,0.03192514553666115,42.10169491525424,621,1475
32,7,4,1,0.061709191650152206,24.081632653061224,177,735
32,8,4,2,0.023241134360432625,46.25850340136054,340,735
76,7,4,1,0.08796311169862747,9.44206008583691,44,466
76,8,4,2,0.05086202919483185,38.62660944206009,180,466
7,7,4,1,0.05457804352045059,35.91470258136925,320,891
7,8,4,2,0.027124658226966858,51.402918069584736,458,891
24,7,4,1,0.08038024604320526,5.448717948717949,17,312
24,8,4,2,0.043222103267908096,50.96153846153846,159,312
41,7,4,1,0.05944373831152916,45.20166898470097,325,719
41,8,4,2,0.03176001459360123,61.19610570236439,440,719
52,7,4,1,0.05975309759378433,39.77987421383648,253,636
52,8,4,2,0.032677896320819855,67.13836477987421,427,636
13,7,4,1,0.05870775878429413,18.29787234042553,301,1645
13,8,4,2,0.0336751714348793,35.5015197568389,584,1645
64,7,4,1,0.06355447322130203,19.20251836306401,183,953
64,8,4,2,0.03849024698138237,34.41762854144806,328,953
62,9,5,1,0.0685773491859436,22.183098591549296,126,568
62,10,5,2,0.04075422137975693,46.478873239436616,264,568
97,9,5,1,0.0492388978600502,28.606760098928273,347,1213
97,10,5,2,0.026954641565680504,40.560593569662,492,1213
55,9,5,1,0.05642024800181389,22.689075630252102,243,1071
55,10,5,2,0.029715117067098618,46.68534080298786,500,1071
2,9,5,1,0.06350898742675781,32.72727272727273,198,605
2,10,5,2,0.042478058487176895,53.884297520661164,326,605
52,9,5,1,0.061882052570581436,36.79245283018868,234,636
52,10,5,2,0.032428938895463943,67.13836477987421,427,636
21,9,5,1,0.05415129289031029,21.754746023601847,424,1949
21,10,5,2,0.03288092464208603,32.734735761929194,638,1949
47,9,5,1,0.12660494446754456,0.7462686567164178,1,134
47,10,5,2,0.11312238872051239,6.7164179104477615,9,134
93,9,5,1,0.05578628554940224,21.92881745120551,382,1742
93,10,5,2,0.03165232017636299,40.70034443168771,709,1742
91,9,5,1,0.05281760171055794,33.00970873786408,340,1030
91,10,5,2,0.027930717915296555,57.37864077669903,591,1030
83,9,5,1,0.05450725182890892,21.402969790066564,418,1953
83,10,5,2,0.033906858414411545,38.65847414234511,755,1953
42,11,6,1,0.05524453520774841,19.97084548104956,274,1372
42,12,6,2,0.03130734711885452,37.60932944606414,516,1372
85,11,6,1,0.05535475164651871,20.02012072434608,398,1988
85,12,6,2,0.035904206335544586,33.5010060362173,666,1988
94,11,6,1,0.05623456835746765,22.503008423586042,374,1662
94,12,6,2,0.03408370167016983,33.57400722021661,558,1662
95,11,6,1,0.051017217338085175,51.41903171953256,308,599
95,12,6,2,0.02988906018435955,81.80300500834724,490,599
56,11,6,1,0.0819135382771492,0.0,0,186
56,12,6,2,0.06622878462076187,30.64516129032258,57,186
86,11,6,1,0.0668225884437561,32.40279162512463,325,1003
86,12,6,2,0.03594422712922096,36.78963110667996,369,1003
53,11,6,1,0.05456919223070145,28.65928659286593,233,813
53,12,6,2,0.019587742164731026,52.521525215252154,427,813
33,11,6,1,0.08395117521286011,7.3786407766990285,38,515
33,12,6,2,0.05433323234319687,24.854368932038835,128,515
44,11,6,1,0.060431577265262604,20.742857142857144,363,1750
44,12,6,2,0.03605663403868675,36.68571428571429,642,1750
96,11,6,1,0.07728804647922516,9.646302250803858,30,311
96,12,6,2,0.05210057646036148,43.08681672025724,134,311
55,13,7,1,0.05767500400543213,23.062558356676004,247,1071
55,14,7,2,0.0296933650970459,43.977591036414566,471,1071
61,13,7,1,0.12725867331027985,0.0,0,85
61,14,7,2,0.11737457662820816,1.1764705882352942,1,85
33,13,7,1,0.0831620916724205,9.320388349514563,48,515
33,14,7,2,0.05464249849319458,23.106796116504853,119,515
24,13,7,1,0.07854443043470383,7.371794871794872,23,312
24,14,7,2,0.04311596602201462,50.32051282051282,157,312
70,13,7,1,0.05882564187049866,22.9901269393512,326,1418
70,14,7,2,0.03135744854807854,44.42877291960507,630,1418
53,13,7,1,0.05288472771644592,27.30627306273063,222,813
53,14,7,2,0.01930409111082554,52.767527675276746,429,813
80,13,7,1,0.07177475094795227,17.888563049853374,122,682
80,14,7,2,0.03899344429373741,34.75073313782991,237,682
84,13,7,1,0.06542354822158813,25.630252100840334,305,1190
84,14,7,2,0.03425197675824165,34.53781512605042,411,1190
10,13,7,1,0.06133214756846428,21.718931475029034,187,861
10,14,7,2,0.021839449182152748,52.72938443670151,454,861
91,13,7,1,0.0495995357632637,34.75728155339806,358,1030
91,14,7,2,0.027240877971053123,59.417475728155345,612,1030
65,15,8,1,0.056577395647764206,25.6271186440678,378,1475
65,16,8,2,0.03301003947854042,39.79661016949152,587,1475
24,15,8,1,0.08173249661922455,5.448717948717949,17,312
24,16,8,2,0.04476892575621605,50.0,156,312
13,15,8,1,0.05953562259674072,18.480243161094226,304,1645
13,16,8,2,0.033078569918870926,39.51367781155015,650,1645
1,15,8,1,0.05552101135253906,29.094827586206897,270,928
1,16,8,2,0.023638222366571426,62.60775862068966,581,928
59,15,8,1,0.05571182444691658,26.078971533516988,284,1089
59,16,8,2,0.029240785166621208,40.03673094582185,436,1089
29,15,8,1,0.050437070429325104,29.097222222222225,419,1440
29,16,8,2,0.02807505801320076,46.736111111111114,673,1440
46,15,8,1,0.05749404802918434,20.850840336134453,397,1904
46,16,8,2,0.0312589630484581,35.609243697478995,678,1904
17,15,8,1,0.052041083574295044,24.015247776365946,378,1574
17,16,8,2,0.02825501747429371,41.10546378653113,647,1574
12,15,8,1,0.09054120630025864,1.183431952662722,4,338
12,16,8,2,0.04866011068224907,40.23668639053255,136,338
63,15,8,1,0.0547511912882328,29.166666666666668,259,888
63,16,8,2,0.026712900027632713,46.95945945945946,417,888
38,17,9,1,0.06270255148410797,22.104332449160037,250,1131
38,18,9,2,0.030796153470873833,42.44031830238727,480,1131
85,17,9,1,0.055632542818784714,20.57344064386318,409,1988
85,18,9,2,0.03627527877688408,33.45070422535211,665,1988
61,17,9,1,0.13083572685718536,0.0,0,85
61,18,9,2,0.12465977668762207,0.0,0,85
13,17,9,1,0.05968810245394707,18.72340425531915,308,1645
13,18,9,2,0.033567484468221664,36.71732522796353,604,1645
88,17,9,1,0.0806971937417984,16.25207296849088,98,603
88,18,9,2,0.04702940210700035,47.92703150912106,289,603
99,17,9,1,0.06732199341058731,23.02716688227684,178,773
99,18,9,2,0.02975529618561268,50.840879689521344,393,773
52,17,9,1,0.06029849871993065,35.84905660377358,228,636
52,18,9,2,0.03181018307805061,67.13836477987421,427,636
77,17,9,1,0.05712151154875755,22.910447761194032,307,1340
77,18,9,2,0.027898719534277916,42.3134328358209,567,1340
37,17,9,1,0.05560801178216934,32.5066430469442,367,1129
37,18,9,2,0.027019575238227844,58.54738706820195,661,1129
93,17,9,1,0.05597471445798874,23.70838117106774,413,1742
93,18,9,2,0.03181144595146179,39.66704936854191,691,1742
72,19,10,1,0.06546042114496231,20.54794520547945,255,1241
72,20,10,2,0.03747820481657982,30.136986301369863,374,1241
15,19,10,1,0.05868522450327873,26.689774696707108,308,1154
15,20,10,2,0.0297416839748621,35.181975736568454,406,1154
56,19,10,1,0.08020081371068954,0.0,0,186
56,20,10,2,0.06437497586011887,33.87096774193548,63,186
44,19,10,1,0.06154266744852066,19.085714285714285,334,1750
44,20,10,2,0.03623272851109505,35.25714285714286,617,1750
89,19,10,1,0.06204511597752571,32.700892857142854,293,896
89,20,10,2,0.036079712212085724,47.879464285714285,429,896
31,19,10,1,0.08551329374313354,8.695652173913043,40,460
31,20,10,2,0.041898589581251144,40.869565217391305,188,460
57,19,10,1,0.05515060946345329,26.603119584055456,307,1154
57,20,10,2,0.0264571662992239,39.86135181975737,460,1154
97,19,10,1,0.05047926679253578,28.52431986809563,346,1213
97,20,10,2,0.028146974742412567,40.64303380049464,493,1213
