model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,1,5.621847759611043,0.0,0,9950
global,global_in_0_trigger,,1,5.605736938169853,0.0,0,9950
global,global_in_20_trigger,,1,5.592724830205716,0.0,0,9950
20,20_trigger,,2,6.834788665004711,0.0,0,9950
global,combine,,2,5.6207779804785645,0.0,0,9950
global,global_in_0_trigger,,2,5.6046667219765824,0.0,0,9950
global,global_in_20_trigger,,2,5.5916862848176425,0.0,0,9950
global,combine,,3,5.6206733511919955,0.0,0,9950
global,global_in_0_trigger,,3,5.604597762984846,0.0,0,9950
global,global_in_20_trigger,,3,5.591692938876512,0.0,0,9950
global,combine,,4,5.613068355387779,0.0,0,9950
global,global_in_0_trigger,,4,5.597187699361063,0.0,0,9950
global,global_in_20_trigger,,4,5.58449841676645,0.0,0,9950
global,combine,,5,5.612802659231215,0.0,0,9950
global,global_in_0_trigger,,5,5.596948550430374,0.0,0,9950
global,global_in_20_trigger,,5,5.584253964831482,0.0,0,9950
global,combine,,6,5.612765539734807,0.0,0,9950
global,global_in_0_trigger,,6,5.596956238099678,0.0,0,9950
global,global_in_20_trigger,,6,5.5842314707693745,0.0,0,9950
global,combine,,7,5.612305771717474,0.0,0,9950
global,global_in_0_trigger,,7,5.5964477753759025,0.0,0,9950
global,global_in_20_trigger,,7,5.583806149276657,0.0,0,9950
global,combine,,8,5.611155947584603,0.0,0,9950
global,global_in_0_trigger,,8,5.595276331302508,0.0,0,9950
global,global_in_20_trigger,,8,5.582687643233256,0.0,0,9950
global,combine,,9,5.610838935890389,0.0,0,9950
global,global_in_0_trigger,,9,5.594957473218141,0.0,0,9950
global,global_in_20_trigger,,9,5.582345775815111,0.0,0,9950
global,combine,,10,5.611020237908291,0.0,0,9950
global,global_in_0_trigger,,10,5.595240059857392,0.0,0,9950
global,global_in_20_trigger,,10,5.582766384719005,0.0,0,9950
global,combine,,11,5.61026667455932,0.0,0,9950
global,global_in_0_trigger,,11,5.594508007567133,0.0,0,9950
global,global_in_20_trigger,,11,5.5820457726866755,0.0,0,9950
global,combine,,12,5.606108307958248,0.0,0,9950
global,global_in_0_trigger,,12,5.590510844321706,0.0,0,9950
global,global_in_20_trigger,,12,5.578176341607942,0.0,0,9950
global,combine,,13,5.606536395969103,0.0,0,9950
global,global_in_0_trigger,,13,5.590951424603486,0.0,0,9950
global,global_in_20_trigger,,13,5.578673244457149,0.0,0,9950
global,combine,,14,5.60472377451221,0.0,0,9950
global,global_in_0_trigger,,14,5.5891975502512565,0.0,0,9950
global,global_in_20_trigger,,14,5.577017060092945,0.0,0,9950
global,combine,,15,5.604938926505084,0.0,0,9950
global,global_in_0_trigger,,15,5.589404468632224,0.0,0,9950
global,global_in_20_trigger,,15,5.577226800199729,0.0,0,9950
global,combine,,16,5.603109413031957,0.0,0,9950
global,global_in_0_trigger,,16,5.587552550042694,0.0,0,9950
global,global_in_20_trigger,,16,5.575406848389899,0.0,0,9950
global,combine,,17,5.602617679768471,0.0,0,9950
global,global_in_0_trigger,,17,5.58706449882469,0.0,0,9950
global,global_in_20_trigger,,17,5.574941101074219,0.0,0,9950
global,combine,,18,5.600497336842906,0.0,0,9950
global,global_in_0_trigger,,18,5.58493615385276,0.0,0,9950
global,global_in_20_trigger,,18,5.572862892342572,0.0,0,9950
global,combine,,19,5.598892734853466,0.0,0,9950
global,global_in_0_trigger,,19,5.583344218958563,0.0,0,9950
global,global_in_20_trigger,,19,5.571388675555512,0.0,0,9950
global,combine,,20,5.597332964566485,0.0,0,9950
global,global_in_0_trigger,,20,5.581811455961448,0.0,0,9950
global,global_in_20_trigger,,20,5.56990251704077,0.0,0,9950
0,0_trigger,,21,nan,0.0,0,9950
global,combine,,21,5.591432924510246,0.0,0,9950
global,global_in_0_trigger,,21,5.576000042632597,0.0,0,9950
global,global_in_20_trigger,,21,5.564274879340551,0.0,0,9950
0,0_trigger,,22,7.8658550335294635,0.0,0,9950
global,combine,,22,5.591003339757871,0.0,0,9950
global,global_in_0_trigger,,22,5.575572767401461,0.0,0,9950
global,global_in_20_trigger,,22,5.5639669861146555,0.0,0,9950
20,20_trigger,,23,nan,0.0,0,9950
global,combine,,23,5.587760319542046,0.0,0,9950
global,global_in_0_trigger,,23,5.572442478199101,0.0,0,9950
global,global_in_20_trigger,,23,5.560906741655052,0.0,0,9950
global,combine,,24,5.5876913789528695,0.0,0,9950
global,global_in_0_trigger,,24,5.57243709851749,0.0,0,9950
global,global_in_20_trigger,,24,5.5608645583876415,0.0,0,9950
global,combine,,25,5.58471961246663,0.0,0,9950
