model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,1,5.458504066658978,0.0,0,9950
global,global_in_0_trigger,,1,5.450540030781348,0.0,0,9950
global,global_in_20_trigger,,1,5.439415730998744,0.0,0,9950
20,20_trigger,,2,7.427348681885992,0.0,0,9950
global,combine,,2,5.3966863844981745,0.0,0,9950
global,global_in_0_trigger,,2,5.395362831000707,0.0,0,9950
global,global_in_20_trigger,,2,5.396162494295207,0.0,0,9950
global,combine,,3,5.492860995345379,0.0,0,9950
global,global_in_0_trigger,,3,5.474009279797425,0.0,0,9950
global,global_in_20_trigger,,3,5.484310876280818,0.0,0,9950
global,combine,,4,5.283640224130909,0.0,0,9950
global,global_in_0_trigger,,4,5.2980013808053945,0.0,0,9950
global,global_in_20_trigger,,4,5.29519702393805,0.0,0,9950
global,combine,,5,5.5423605085976755,0.0,0,9950
global,global_in_0_trigger,,5,5.58445873318006,0.0,0,9950
global,global_in_20_trigger,,5,5.547273269729998,0.0,0,9950
global,combine,,6,5.278502881227427,0.0,0,9950
global,global_in_0_trigger,,6,5.223703599479331,0.0,0,9950
global,global_in_20_trigger,,6,5.166173103370858,0.0,0,9950
global,combine,,7,5.198415303445941,0.0,0,9950
global,global_in_0_trigger,,7,5.197139914047778,0.0,0,9950
global,global_in_20_trigger,,7,5.180348771445116,0.0,0,9950
global,combine,,8,6.094644634304334,0.0,0,9950
global,global_in_0_trigger,,8,6.039058825622252,0.0,0,9950
global,global_in_20_trigger,,8,6.111746304766018,0.0,0,9950
global,combine,,9,5.7348956620872915,0.0,0,9950
global,global_in_0_trigger,,9,5.730356877772652,0.0,0,9950
global,global_in_20_trigger,,9,5.812353236519511,0.0,0,9950
global,combine,,10,5.629535116071078,0.0,0,9950
global,global_in_0_trigger,,10,5.706172549760521,0.0,0,9950
global,global_in_20_trigger,,10,5.7049623192255225,0.0,0,9950
global,combine,,11,6.434209116260011,0.0,0,9950
global,global_in_0_trigger,,11,6.517481350539318,0.0,0,9950
global,global_in_20_trigger,,11,6.511724160352544,0.0,0,9950
global,combine,,12,7.646679647627788,0.0,0,9950
global,global_in_0_trigger,,12,7.352438811489086,0.0,0,9950
global,global_in_20_trigger,,12,7.468094318332384,0.0,0,9950
global,combine,,13,7.017514370865558,0.0,0,9950
global,global_in_0_trigger,,13,6.837506759873587,0.0,0,9950
global,global_in_20_trigger,,13,6.756931405378945,0.0,0,9950
global,combine,,14,7.5242497399104895,0.0,0,9950
