local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
84,1,1,1,0.06272993981838226,26.638655462184875,317,1190
84,2,1,2,0.03223861753940582,39.2436974789916,467,1190
86,1,1,1,0.06298575550317764,35.3938185443669,355,1003
86,2,1,2,0.03513103350996971,37.08873379860419,372,1003
65,1,1,1,0.05628024786710739,25.28813559322034,373,1475
65,2,1,2,0.031119393184781075,45.96610169491526,678,1475
96,1,1,1,0.07883103936910629,15.434083601286176,48,311
96,2,1,2,0.05401004105806351,43.40836012861736,135,311
55,1,1,1,0.05751931294798851,21.19514472455649,227,1071
55,2,1,2,0.029085051268339157,46.49859943977591,498,1071
56,1,1,1,0.08363623917102814,0.0,0,186
56,2,1,2,0.06797328591346741,33.87096774193548,63,186
28,1,1,1,0.05645041540265083,25.67994939911448,406,1581
28,2,1,2,0.033712755888700485,37.254901960784316,589,1581
93,1,1,1,0.05586167797446251,22.67508610792193,395,1742
93,2,1,2,0.03208654746413231,40.52812858783008,706,1742
16,1,1,1,0.06611496210098267,38.84180790960452,275,708
16,2,1,2,0.0364668071269989,60.16949152542372,426,708
79,1,1,1,0.10175227373838425,8.121827411167512,16,197
79,2,1,2,0.08339694142341614,31.472081218274113,62,197
65,3,2,1,0.056519847363233566,25.49152542372881,376,1475
65,4,2,2,0.03255312517285347,43.59322033898305,643,1475
48,3,2,1,0.07022437453269958,15.372424722662439,97,631
48,4,2,2,0.04119148477911949,35.49920760697306,224,631
44,3,2,1,0.06041768565773964,20.228571428571428,354,1750
44,4,2,2,0.03627784922719002,36.22857142857143,634,1750
24,3,2,1,0.07934486120939255,6.730769230769231,21,312
24,4,2,2,0.04268588870763779,51.92307692307693,162,312
25,3,2,1,0.056081607937812805,43.6231884057971,301,690
25,4,2,2,0.029017776250839233,66.66666666666666,460,690
99,3,2,1,0.06883234530687332,20.95730918499353,162,773
99,4,2,2,0.0303505789488554,52.52263906856404,406,773
85,3,2,1,0.05418820306658745,22.132796780684107,440,1988
85,4,2,2,0.035320837050676346,32.54527162977867,647,1988
29,3,2,1,0.049309615045785904,28.194444444444443,406,1440
29,4,2,2,0.027843130752444267,45.625,657,1440
7,3,2,1,0.05358641967177391,37.03703703703704,330,891
7,4,2,2,0.025879548862576485,53.42312008978676,476,891
20,3,2,1,0.05546600744128227,47.459727385377946,383,807
20,4,2,2,0.0320858359336853,51.42503097893433,415,807
76,5,3,1,0.09012505412101746,7.939914163090128,37,466
76,6,3,2,0.05087001621723175,38.62660944206009,180,466
59,5,3,1,0.053593359887599945,26.813590449954088,292,1089
59,6,3,2,0.027616728097200394,44.352617079889804,483,1089
8,5,3,1,0.06085054948925972,16.259087904824852,246,1513
8,6,3,2,0.03628034144639969,31.92333113020489,483,1513
85,5,3,1,0.05388536676764488,21.378269617706238,425,1988
85,6,3,2,0.035678256303071976,31.237424547283705,621,1988
95,5,3,1,0.053197819739580154,53.255425709515855,319,599
95,6,3,2,0.0277759600430727,81.80300500834724,490,599
14,5,3,1,0.06348700821399689,20.33563672260612,206,1013
14,6,3,2,0.03583306446671486,34.748272458045406,352,1013
4,5,3,1,0.06279481202363968,37.735849056603776,340,901
4,6,3,2,0.03171713650226593,45.72697003329634,412,901
70,5,3,1,0.057265277951955795,22.143864598025388,314,1418
70,6,3,2,0.030970562249422073,43.79407616361072,621,1418
94,5,3,1,0.056715819984674454,19.915764139590856,331,1662
94,6,3,2,0.034205034375190735,32.97232250300842,548,1662
11,5,3,1,0.05197307467460632,50.0,356,712
11,6,3,2,0.02598504349589348,59.41011235955056,423,712
21,7,4,1,0.05490833520889282,19.805028219599794,386,1949
21,8,4,2,0.03322848305106163,32.99127757824525,643,1949
65,7,4,1,0.05676328018307686,25.016949152542374,369,1475
65,8,4,2,0.032228779047727585,41.152542372881356,607,1475
32,7,4,1,0.06212199106812477,24.217687074829932,178,735
32,8,4,2,0.02329968847334385,45.714285714285715,336,735
76,7,4,1,0.08788351714611053,10.515021459227468,49,466
76,8,4,2,0.05069710686802864,38.62660944206009,180,466
7,7,4,1,0.05458761379122734,37.14927048260381,331,891
7,8,4,2,0.027059154585003853,49.719416386083054,443,891
24,7,4,1,0.08041050285100937,5.448717948717949,17,312
24,8,4,2,0.04299475997686386,50.96153846153846,159,312
41,7,4,1,0.05913398414850235,44.78442280945758,322,719
41,8,4,2,0.03165237978100777,61.891515994436716,445,719
52,7,4,1,0.05976260453462601,39.46540880503145,251,636
52,8,4,2,0.03232833743095398,67.13836477987421,427,636
13,7,4,1,0.058826882392168045,18.054711246200608,297,1645
13,8,4,2,0.033327698707580566,35.319148936170215,581,1645
64,7,4,1,0.06356310099363327,18.57292759706191,177,953
64,8,4,2,0.03874136134982109,34.83735571878279,332,953
62,9,5,1,0.06868371367454529,22.359154929577464,127,568
62,10,5,2,0.040611423552036285,46.478873239436616,264,568
97,9,5,1,0.049224045127630234,28.606760098928273,347,1213
97,10,5,2,0.02663785219192505,43.28112118713933,525,1213
55,9,5,1,0.056561779230833054,22.3155929038282,239,1071
55,10,5,2,0.03008478321135044,44.35107376283847,475,1071
2,9,5,1,0.06341040134429932,32.396694214876035,196,605
2,10,5,2,0.04246297478675842,53.884297520661164,326,605
52,9,5,1,0.06210365891456604,37.264150943396224,237,636
52,10,5,2,0.032729580998420715,67.13836477987421,427,636
