local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
85,1,1,1,0.05459876358509064,21.378269617706238,425,1988
85,2,1,2,0.03563517704606056,31.740442655935613,631,1988
87,1,1,1,0.058329932391643524,25.72944297082228,291,1131
87,2,1,2,0.031988199800252914,35.80901856763926,405,1131
65,1,1,1,0.05544332414865494,26.508474576271183,391,1475
65,2,1,2,0.03266041353344917,43.525423728813564,642,1475
98,1,1,1,0.0832037627696991,2.1447721179624666,8,373
98,2,1,2,0.04907551407814026,41.28686327077748,154,373
55,1,1,1,0.05729691684246063,22.22222222222222,238,1071
55,2,1,2,0.029267018660902977,45.09803921568628,483,1071
56,1,1,1,0.08339156210422516,0.0,0,186
56,2,1,2,0.06751538068056107,31.72043010752688,59,186
28,1,1,1,0.05688579007983208,22.896900695762177,362,1581
28,2,1,2,0.03337930887937546,38.83617963314358,614,1581
94,1,1,1,0.05605321377515793,20.03610108303249,333,1662
94,2,1,2,0.03398990258574486,34.83754512635379,579,1662
16,1,1,1,0.06462451815605164,37.71186440677966,267,708
16,2,1,2,0.03511754050850868,60.16949152542372,426,708
80,1,1,1,0.07080191373825073,19.941348973607038,136,682
80,2,1,2,0.038280222564935684,36.070381231671554,246,682
65,3,2,1,0.056165456771850586,24.338983050847457,359,1475
65,4,2,2,0.03304920718073845,41.49152542372882,612,1475
48,3,2,1,0.07147669792175293,13.47068145800317,85,631
48,4,2,2,0.04190356656908989,32.32963549920761,204,631
44,3,2,1,0.05992256477475166,22.857142857142858,400,1750
44,4,2,2,0.035425834357738495,37.31428571428572,653,1750
24,3,2,1,0.07452921569347382,8.974358974358974,28,312
24,4,2,2,0.04029383882880211,53.205128205128204,166,312
25,3,2,1,0.05919475853443146,42.7536231884058,295,690
25,4,2,2,0.02852892503142357,66.08695652173913,456,690
20,3,2,1,0.05683344975113869,45.10532837670384,364,807
20,4,2,2,0.03238846734166145,48.20322180916977,389,807
86,3,2,1,0.06312783062458038,33.39980059820538,335,1003
86,4,2,2,0.034445520490407944,38.783649052841476,389,1003
29,3,2,1,0.04917734116315842,28.958333333333336,417,1440
29,4,2,2,0.028134500607848167,47.013888888888886,677,1440
7,3,2,1,0.05361209064722061,38.94500561167228,347,891
7,4,2,2,0.027286678552627563,45.230078563411894,403,891
95,3,2,1,0.053792648017406464,51.41903171953256,308,599
95,4,2,2,0.03187492489814758,81.80300500834724,490,599
77,5,3,1,0.055110421031713486,23.208955223880597,311,1340
77,6,3,2,0.027054881677031517,43.059701492537314,577,1340
59,5,3,1,0.054355356842279434,27.45638200183655,299,1089
59,6,3,2,0.03506598621606827,44.81175390266299,488,1089
8,5,3,1,0.05867868289351463,17.118307997356247,259,1513
8,6,3,2,0.036560941487550735,32.12161269001983,486,1513
86,5,3,1,0.06459401547908783,32.80159521435693,329,1003
86,6,3,2,0.035199254751205444,35.3938185443669,355,1003
97,5,3,1,0.053751494735479355,31.162407254740316,378,1213
97,6,3,2,0.02755267545580864,38.0873866446826,462,1213
14,5,3,1,0.06244799494743347,20.927936821322803,212,1013
14,6,3,2,0.035759102553129196,32.08292201382034,325,1013
4,5,3,1,0.06006380170583725,35.405105438401776,319,901
