local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
85,1,1,1,0.05449937283992767,22.03219315895372,438,1988
85,2,1,2,0.03508882597088814,33.75251509054326,671,1988
87,1,1,1,0.05834248661994934,25.81786030061892,292,1131
87,2,1,2,0.032122042030096054,34.836427939876216,394,1131
65,1,1,1,0.0553852878510952,26.508474576271183,391,1475
65,2,1,2,0.0328512042760849,42.91525423728814,633,1475
98,1,1,1,0.08319905400276184,1.876675603217158,7,373
98,2,1,2,0.04908572509884834,41.28686327077748,154,373
55,1,1,1,0.057163286954164505,22.969187675070028,246,1071
55,2,1,2,0.02911265566945076,46.68534080298786,500,1071
56,1,1,1,0.08339144289493561,0.0,0,186
56,2,1,2,0.06752772629261017,31.72043010752688,59,186
28,1,1,1,0.05689016357064247,22.45414294750158,355,1581
28,2,1,2,0.03329186886548996,39.40543959519292,623,1581
94,1,1,1,0.05597987771034241,19.7352587244284,328,1662
94,2,1,2,0.03396942466497421,34.59687123947052,575,1662
16,1,1,1,0.06461118906736374,37.71186440677966,267,708
16,2,1,2,0.03518401458859444,60.16949152542372,426,708
80,1,1,1,0.07075529545545578,20.234604105571847,138,682
80,2,1,2,0.03834419324994087,35.483870967741936,242,682
65,3,2,1,0.055714741349220276,26.440677966101696,390,1475
65,4,2,2,0.03152178227901459,44.0,649,1475
48,3,2,1,0.0716116726398468,13.312202852614895,84,631
48,4,2,2,0.04113272577524185,33.12202852614897,209,631
44,3,2,1,0.059840258210897446,22.400000000000002,392,1750
44,4,2,2,0.03528957441449165,37.48571428571428,656,1750
24,3,2,1,0.07770925760269165,6.089743589743589,19,312
24,4,2,2,0.04173540696501732,51.92307692307693,162,312
25,3,2,1,0.057708825916051865,44.05797101449275,304,690
25,4,2,2,0.028371421620249748,66.23188405797102,457,690
20,3,2,1,0.05727817863225937,42.50309789343247,343,807
20,4,2,2,0.032004520297050476,51.92069392812887,419,807
86,3,2,1,0.06456387042999268,34.89531405782652,350,1003
86,4,2,2,0.03438648208975792,37.587238285144565,377,1003
29,3,2,1,0.049313269555568695,28.125,405,1440
29,4,2,2,0.02806292660534382,45.763888888888886,659,1440
7,3,2,1,0.05361715331673622,38.8327721661055,346,891
7,4,2,2,0.02614283189177513,49.494949494949495,441,891
95,3,2,1,0.0516187958419323,54.257095158597664,325,599
95,4,2,2,0.0298810712993145,81.80300500834724,490,599
77,5,3,1,0.05420931801199913,24.029850746268657,322,1340
77,6,3,2,0.026867574080824852,44.40298507462687,595,1340
59,5,3,1,0.05340021103620529,28.37465564738292,309,1089
59,6,3,2,0.028184523805975914,42.05693296602387,458,1089
8,5,3,1,0.06049054116010666,15.201586252478519,230,1513
8,6,3,2,0.036745090037584305,33.17911434236616,502,1513
86,5,3,1,0.06403840333223343,35.49351944167498,356,1003
86,6,3,2,0.03433491662144661,38.783649052841476,389,1003
97,5,3,1,0.052347902208566666,28.359439406430337,344,1213
97,6,3,2,0.027163386344909668,42.45671887881286,515,1213
14,5,3,1,0.06291523575782776,20.927936821322803,212,1013
14,6,3,2,0.03584636375308037,32.77393879565646,332,1013
4,5,3,1,0.062086571007966995,35.84905660377358,323,901
4,6,3,2,0.03338145092129707,45.61598224195338,411,901
70,5,3,1,0.055882491171360016,22.496473906911145,319,1418
70,6,3,2,0.031183458864688873,44.71086036671368,634,1418
96,5,3,1,0.0787166953086853,15.755627009646304,49,311
96,6,3,2,0.054212238639593124,43.40836012861736,135,311
11,5,3,1,0.054721198976039886,48.174157303370784,343,712
11,6,3,2,0.026696398854255676,60.53370786516854,431,712
21,7,4,1,0.05352944880723953,20.16418676244228,393,1949
21,8,4,2,0.032815102487802505,32.632119035402766,636,1949
65,7,4,1,0.05837646871805191,27.59322033898305,407,1475
65,8,4,2,0.0318029448390007,41.898305084745765,618,1475
32,7,4,1,0.06077481433749199,26.258503401360546,193,735
32,8,4,2,0.02328353188931942,44.89795918367347,330,735
77,7,4,1,0.05441657081246376,22.910447761194032,307,1340
77,8,4,2,0.028030773624777794,40.298507462686565,540,1340
7,7,4,1,0.05304159224033356,40.17957351290685,358,891
7,8,4,2,0.0264569241553545,51.178451178451176,456,891
24,7,4,1,0.07711692154407501,8.333333333333332,26,312
24,8,4,2,0.0407034270465374,53.52564102564102,167,312
41,7,4,1,0.06294892728328705,44.645340751043115,321,719
41,8,4,2,0.03008357621729374,62.58692628650904,450,719
52,7,4,1,0.0578983798623085,42.924528301886795,273,636
52,8,4,2,0.031031418591737747,67.13836477987421,427,636
13,7,4,1,0.058308422565460205,20.121580547112462,331,1645
13,8,4,2,0.032964758574962616,38.054711246200604,626,1645
64,7,4,1,0.0647524818778038,17.83840503672613,170,953
64,8,4,2,0.03808142989873886,33.36831059811123,318,953
62,9,5,1,0.06903453916311264,24.647887323943664,140,568
62,10,5,2,0.040774524211883545,46.478873239436616,264,568
99,9,5,1,0.06940871477127075,21.992238033635186,170,773
99,10,5,2,0.030683455988764763,51.48771021992238,398,773
55,9,5,1,0.05710063502192497,20.72829131652661,222,1071
55,10,5,2,0.029575254768133163,43.977591036414566,471,1071
