model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.621654718293617,0.0,0,9950
global,2,5.62002949316897,0.0,0,9950
global,3,5.620207876847617,0.0,0,9950
global,4,5.6135957896170305,0.0,0,9950
global,5,5.612830080578675,0.0,0,9950
global,6,5.6130799766042125,0.0,0,9950
global,7,5.613437769904208,0.0,0,9950
global,8,5.611862714757871,0.0,0,9950
global,9,5.611696838685615,0.0,0,9950
global,10,5.611317900844555,0.0,0,9950
global,11,5.610221266243326,0.0,0,9950
global,12,5.605820537931356,0.0,0,9950
global,13,5.605297106258833,0.0,0,9950
global,14,5.604178514336821,0.0,0,9950
global,15,5.604466549667282,0.0,0,9950
global,16,5.603525663596302,0.0,0,9950
global,17,5.603481931446785,0.0,0,9950
global,18,5.602020418560086,0.0,0,9950
global,19,5.600355899369896,0.0,0,9950
global,20,5.598937184702811,0.0,0,9950
0,21,0.7430471619649149,96.88442211055276,9640,9950
0,21,nan,0.0,0,9950
global,21,5.5927113764010485,0.0,0,9950
global,22,5.592982642399007,0.0,0,9950
20,23,0.7747071464576913,93.89949748743719,9343,9950
20,23,nan,0.0,0,9950
global,23,5.590978563778364,0.0,0,9950
global,24,5.591011660781937,0.0,0,9950
74,25,0.32534397355276135,92.5427135678392,9208,9950
74,25,nan,0.0,0,9950
global,25,5.584168693504142,0.0,0,9950
global,26,5.584174382962174,0.0,0,9950
95,27,0.5517003879834659,77.65829145728644,7727,9950
95,27,nan,0.0,0,9950
global,27,5.584832061307514,0.0,0,9950
global,28,5.585150996069213,0.0,0,9950
global,29,5.584849637285549,0.0,0,9950
global,30,5.584527785718142,0.0,0,9950
global,31,5.581006426787257,0.0,0,9950
global,32,5.580622294823728,0.0,0,9950
global,33,5.581066130825024,0.0,0,9950
global,34,5.5801348370882735,0.0,0,9950
global,35,5.579347515777128,0.0,0,9950
global,36,5.5796525903443,0.0,0,9950
global,37,5.57984359051115,0.0,0,9950
global,38,5.578305004637445,0.0,0,9950
global,39,5.573685184651284,0.0,0,9950
global,40,5.572058010388858,0.0,0,9950
global,41,5.571442484639997,0.0,0,9950
global,42,5.566780160875177,0.0,0,9950
global,43,5.5673600163292045,0.0,0,9950
global,44,5.562965265782035,0.0,0,9950
global,45,5.56243934362977,0.0,0,9950
global,46,5.5624917525861735,0.0,0,9950
global,47,5.559055566835643,0.0,0,9950
global,48,5.557855903970537,0.0,0,9950
global,49,5.55805757148781,0.0,0,9950
global,50,5.557116071998174,0.0,0,9950
global,51,5.555953609907448,0.0,0,9950
global,52,5.555820280295521,0.0,0,9950
global,53,5.552297567242953,0.0,0,9950
global,54,5.552391654929923,0.0,0,9950
global,55,5.551975867496663,0.0,0,9950
global,56,5.54830699671453,0.0,0,9950
global,57,5.5448419726194444,0.0,0,9950
global,58,5.544834610062029,0.0,0,9950
global,59,5.545643074380693,0.0,0,9950
global,60,5.545996854389133,0.0,0,9950
global,61,5.546505082480272,0.0,0,9950
global,62,5.5449865369940525,0.0,0,9950
global,63,5.543289015880182,0.0,0,9950
global,64,5.539057775142804,0.0,0,9950
global,65,5.538467769143569,0.0,0,9950
global,66,5.5372467409066815,0.0,0,9950
global,67,5.536573696424014,0.0,0,9950
global,68,5.537210334509461,0.0,0,9950
global,69,5.537303379384716,0.0,0,9950
global,70,5.537508425305237,0.0,0,9950
global,71,5.537192062301252,0.0,0,9950
global,72,5.5357407950396516,0.0,0,9950
global,73,5.535948411184339,0.0,0,9950
global,74,5.536364743026657,0.0,0,9950
global,75,5.533931113391666,0.0,0,9950
global,76,5.534218871150185,0.0,0,9950
global,77,5.53326697574788,0.0,0,9950
global,78,5.5323507061675565,0.0,0,9950
global,79,5.532933568906545,0.0,0,9950
global,80,5.5328550819895375,0.0,0,9950
global,81,5.532091484644904,0.0,0,9950
global,82,5.532879847234218,0.0,0,9950
global,83,5.532123666121133,0.0,0,9950
global,84,5.532676767320489,0.0,0,9950
global,85,5.5326119243679335,0.0,0,9950
global,86,5.531921155153207,0.0,0,9950
global,87,5.532724485157722,0.0,0,9950
global,88,5.533331639275479,0.0,0,9950
global,89,5.533792796686067,0.0,0,9950
global,90,5.5340791267126646,0.0,0,9950
global,91,5.533955371032408,0.0,0,9950
global,92,5.534279444708896,0.0,0,9950
global,93,5.532920739255359,0.0,0,9950
global,94,5.53384092091316,0.0,0,9950
global,95,5.533773153487163,0.0,0,9950
global,96,5.534065099361554,0.0,0,9950
global,97,5.534523813832346,0.0,0,9950
global,98,5.534859971856352,0.0,0,9950
global,99,5.534959850215433,0.0,0,9950
global,100,5.534245617737123,0.0,0,9950
