model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.346184321264526,0.0,0,9950
global,2,5.33212532848569,0.0,0,9950
global,3,5.383651527903188,0.0,0,9950
global,4,5.445793802079244,0.0,0,9950
global,5,5.4871672249798795,0.0,0,9950
global,6,5.29840744555296,0.0,0,9950
global,7,5.428721315010109,0.0,0,9950
global,8,6.219377955144374,0.0,0,9950
global,9,7.416630925317506,0.0,0,9950
global,10,8.170701807683436,0.0,0,9950
global,11,10.057920823600424,0.0,0,9950
global,12,11.856063324434674,0.0,0,9950
global,13,12.744793796251766,0.0,0,9950
global,14,15.3659453946981,0.0,0,9950
global,15,14.439116888765115,0.0,0,9950
global,16,17.141046038296953,0.0,0,9950
global,17,15.880176544956226,0.0,0,9950
global,18,16.471315657265823,0.0,0,9950
global,19,15.449885045343906,0.0,0,9950
global,20,16.913794083331698,0.0,0,9950
0,21,0.9162935667181734,84.46231155778895,8404,9950
0,21,nan,0.0,0,9950
global,21,2.7789514719900774,0.0,0,9950
global,22,2.9321735730961938,0.0,0,9950
20,23,0.3382244468573949,95.42713567839196,9495,9950
20,23,nan,0.0,0,9950
global,23,0.5752265785447317,82.90452261306532,8249,9950
global,24,1.1096976039637274,50.462311557788944,5021,9950
74,25,0.24711501279667994,93.60804020100502,9314,9950
74,25,nan,0.0,0,9950
global,25,4.886540373989086,0.0,0,9950
global,26,4.393342174740892,0.0,0,9950
95,27,0.06631637554072854,98.08040201005025,9759,9950
95,27,nan,0.0,0,9950
global,27,0.18602358544891204,93.51758793969849,9305,9950
global,28,3.3222641650635993,0.0,0,9950
10,29,0.1709936752031796,96.8643216080402,9638,9950
10,29,nan,0.0,0,9950
global,29,0.4503144276681258,86.24120603015075,8581,9950
global,30,0.5973302216266267,79.31658291457286,7892,9950
30,31,0.18788490396049154,94.96482412060303,9449,9950
30,31,nan,0.0,0,9950
global,31,0.15867228388187274,96.49246231155779,9601,9950
global,32,3.8316652154203634,0.0,0,9950
44,33,0.15527440138198623,97.2964824120603,9681,9950
44,33,nan,0.0,0,9950
global,33,0.29696058388331426,92.32160804020101,9186,9950
global,34,5.557414586052823,0.0,0,9950
55,35,0.08378283361693722,97.47738693467338,9699,9950
55,35,nan,0.0,0,9950
global,35,4.988902597091905,0.0,0,9950
global,36,5.1620115209224835,0.0,0,9950
global,37,5.124548908789553,0.0,0,9950
global,38,5.498276293577261,0.0,0,9950
global,39,5.010820262659734,0.0,0,9950
global,40,5.001651026280082,0.0,0,9950
global,41,5.145629155911393,0.0,0,9950
global,42,4.941369382005241,0.0,0,9950
global,43,4.7531093440223575,0.0,0,9950
global,44,4.428219276313206,0.0,0,9950
global,45,4.726210345550998,0.0,0,9950
global,46,4.927467797054118,0.0,0,9950
global,47,4.601490570528424,0.0,0,9950
global,48,4.719789384238085,0.0,0,9950
global,49,4.809144915863497,0.0,0,9950
global,50,4.997175283000697,0.0,0,9950
global,51,4.668871103411344,0.0,0,9950
global,52,4.79411450179977,0.0,0,9950
global,53,33.64940873802607,0.030150753768844223,3,9950
global,54,4.509642334751148,0.0,0,9950
global,55,4.957774768618483,0.0,0,9950
global,56,8.08511755708474,0.09045226130653267,9,9950
global,57,5.415375183718887,0.0,0,9950
global,58,4.936913174576496,0.0,0,9950
global,59,4.1304344046894625,0.0,0,9950
global,60,10.444480627625431,0.020100502512562814,2,9950
global,61,15.207728391101012,0.0,0,9950
global,62,15.824559911986691,0.0,0,9950
global,63,17.236971864939935,0.0,0,9950
global,64,16.09340620031309,0.0,0,9950
global,65,16.484921457875313,0.0,0,9950
global,66,14.107498570734531,0.0,0,9950
global,67,3.917871221034371,0.0,0,9950
global,68,4.033355113273889,0.0,0,9950
global,69,3.608067223630359,0.0,0,9950
global,70,3.4805428647755376,0.0,0,9950
global,71,16.47634765625,0.0,0,9950
global,72,3.369276652120466,0.0,0,9950
global,73,20.306323450749844,0.0,0,9950
global,74,3.6375806492177687,0.0,0,9950
global,75,15.48840011213293,0.0,0,9950
global,76,3.5601718454025497,0.0,0,9950
global,77,4.0101143642406365,0.0,0,9950
global,78,10.619222626805904,0.1507537688442211,15,9950
global,79,15.718207265575927,0.0,0,9950
global,80,12.105793070577496,0.07035175879396985,7,9950
global,81,26.195945744346734,0.0,0,9950
global,82,11.61342771597244,0.1708542713567839,17,9950
global,83,3.8347106841580954,0.0,0,9950
global,84,8.363685541967651,2.5728643216080402,256,9950
global,85,3.9489111504482866,0.0,0,9950
global,86,8.178099889707326,0.8944723618090452,89,9950
global,87,10.09145137307632,0.36180904522613067,36,9950
global,88,7.313388701012387,2.251256281407035,224,9950
global,89,7.363792077452693,2.64321608040201,263,9950
global,90,5.427803202106725,4.814070351758794,479,9950
global,91,6.2292829197255815,3.3366834170854274,332,9950
global,92,6.064063772843711,2.834170854271357,282,9950
global,93,5.006860707345321,8.50251256281407,846,9950
global,94,4.418253244371271,10.381909547738694,1033,9950
global,95,5.822572754519669,5.085427135678392,506,9950
global,96,7.659983449964667,0.763819095477387,76,9950
global,97,7.375303148432593,0.592964824120603,59,9950
global,98,7.707955254789573,0.23115577889447234,23,9950
global,99,6.901446088474599,0.3417085427135678,34,9950
global,100,4.85092774817692,0.0,0,9950
