model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
74,74_trigger,,1,11.165775996069213,0.0,0,9950
global,combine,,1,5.342917213631635,0.0,0,9950
global,global_in_0_trigger,,1,5.338599657221655,0.0,0,9950
global,global_in_20_trigger,,1,5.338540802768726,0.0,0,9950
global,global_in_74_trigger,,1,5.338540713823021,0.0,0,9950
global,global_in_95_trigger,,1,5.338540758295874,0.0,0,9950
global,global_in_10_trigger,,1,5.338540672417262,0.0,0,9950
global,global_in_30_trigger,,1,5.338540732225581,0.0,0,9950
global,global_in_44_trigger,,1,5.338540776698434,0.0,0,9950
global,global_in_55_trigger,,1,5.338540746027501,0.0,0,9950
30,30_trigger,,2,6.066705030891764,0.0,0,9950
55,55_trigger,,2,8.177698399529385,0.0,0,9950
global,combine,,2,5.339566084511915,0.0,0,9950
global,global_in_0_trigger,,2,5.347191879809202,0.0,0,9950
global,global_in_20_trigger,,2,5.346208753729585,0.0,0,9950
global,global_in_74_trigger,,2,5.346208686253533,0.0,0,9950
global,global_in_95_trigger,,2,5.34620867398516,0.0,0,9950
global,global_in_10_trigger,,2,5.346208661716787,0.0,0,9950
global,global_in_30_trigger,,2,5.346208617243935,0.0,0,9950
global,global_in_44_trigger,,2,5.3462086785858,0.0,0,9950
global,global_in_55_trigger,,2,5.3462087567966785,0.0,0,9950
20,20_trigger,,3,7.402207678406682,0.0,0,9950
0,0_trigger,,3,8.620903627021828,0.0,0,9950
global,combine,,3,5.389270290969005,0.0,0,9950
global,global_in_0_trigger,,3,5.389567013841178,0.0,0,9950
global,global_in_20_trigger,,3,5.390886888360258,0.0,0,9950
global,global_in_74_trigger,,3,5.390886873024792,0.0,0,9950
global,global_in_95_trigger,,3,5.390886909829911,0.0,0,9950
global,global_in_10_trigger,,3,5.3908869036957245,0.0,0,9950
global,global_in_30_trigger,,3,5.390886966571137,0.0,0,9950
global,global_in_44_trigger,,3,5.390886886826712,0.0,0,9950
global,global_in_55_trigger,,3,5.390887017178176,0.0,0,9950
global,combine,,4,5.463522581167557,0.0,0,9950
global,global_in_0_trigger,,4,5.464037656544441,0.0,0,9950
global,global_in_20_trigger,,4,5.457475383509344,0.0,0,9950
global,global_in_74_trigger,,4,5.457475404978997,0.0,0,9950
global,global_in_95_trigger,,4,5.45747541724737,0.0,0,9950
global,global_in_10_trigger,,4,5.4574753651067835,0.0,0,9950
global,global_in_30_trigger,,4,5.457475424915103,0.0,0,9950
global,global_in_44_trigger,,4,5.457475351304864,0.0,0,9950
global,global_in_55_trigger,,4,5.457475377375157,0.0,0,9950
95,95_trigger,,5,9.866605506781957,0.0,0,9950
global,combine,,5,5.504025743954146,0.0,0,9950
global,global_in_0_trigger,,5,5.52649169921875,0.0,0,9950
global,global_in_20_trigger,,5,5.517029625974109,0.0,0,9950
global,global_in_74_trigger,,5,5.517029564632243,0.0,0,9950
global,global_in_95_trigger,,5,5.5170295630986965,0.0,0,9950
global,global_in_10_trigger,,5,5.51702959837027,0.0,0,9950
global,global_in_30_trigger,,5,5.51702956616579,0.0,0,9950
global,global_in_44_trigger,,5,5.517029609105096,0.0,0,9950
global,global_in_55_trigger,,5,5.517029630574749,0.0,0,9950
0,0_trigger,,6,8.496227228365951,0.0,0,9950
20,20_trigger,,6,7.619826799708994,0.0,0,9950
74,74_trigger,,6,11.349415823011542,0.0,0,9950
global,combine,,6,5.2890819499720285,0.0,0,9950
global,global_in_0_trigger,,6,5.283693712704146,0.0,0,9950
global,global_in_20_trigger,,6,5.275750023923328,0.0,0,9950
global,global_in_74_trigger,,6,5.275750022389781,0.0,0,9950
global,global_in_95_trigger,,6,5.275750030057514,0.0,0,9950
global,global_in_10_trigger,,6,5.275750016255595,0.0,0,9950
global,global_in_30_trigger,,6,5.275750039258794,0.0,0,9950
global,global_in_44_trigger,,6,5.275750042325887,0.0,0,9950
global,global_in_55_trigger,,6,5.275750033124607,0.0,0,9950
global,combine,,7,5.355873571041242,0.0,0,9950
global,global_in_0_trigger,,7,5.332524483072099,0.0,0,9950
global,global_in_20_trigger,,7,5.323115504279208,0.0,0,9950
global,global_in_74_trigger,,7,5.323115504279208,0.0,0,9950
global,global_in_95_trigger,,7,5.323115478208916,0.0,0,9950
global,global_in_10_trigger,,7,5.323115521148222,0.0,0,9950
global,global_in_30_trigger,,7,5.323115531883048,0.0,0,9950
global,global_in_44_trigger,,7,5.323115498145022,0.0,0,9950
global,global_in_55_trigger,,7,5.3231155073463015,0.0,0,9950
global,combine,,8,6.135726882704538,0.0,0,9950
global,global_in_0_trigger,,8,6.142050446936833,0.0,0,9950
global,global_in_20_trigger,,8,6.113149009206187,0.0,0,9950
global,global_in_74_trigger,,8,6.1131490490784,0.0,0,9950
global,global_in_95_trigger,,8,6.1131490874170655,0.0,0,9950
global,global_in_10_trigger,,8,6.113149168695037,0.0,0,9950
global,global_in_30_trigger,,8,6.113149004605547,0.0,0,9950
global,global_in_44_trigger,,8,6.113149076682239,0.0,0,9950
global,global_in_55_trigger,,8,6.113148992337174,0.0,0,9950
30,30_trigger,,9,7.541365943793675,0.0,0,9950
global,combine,,9,7.435241575001473,0.0,0,9950
global,global_in_0_trigger,,9,7.476237654949553,0.0,0,9950
global,global_in_20_trigger,,9,7.476607656814346,0.0,0,9950
global,global_in_74_trigger,,9,7.476607632277599,0.0,0,9950
global,global_in_95_trigger,,9,7.476607606207306,0.0,0,9950
global,global_in_10_trigger,,9,7.476607623076319,0.0,0,9950
global,global_in_30_trigger,,9,7.476607652213705,0.0,0,9950
global,global_in_44_trigger,,9,7.476607601606666,0.0,0,9950
global,global_in_55_trigger,,9,7.476607701287198,0.0,0,9950
95,95_trigger,,10,11.22289833260541,0.0,0,9950
30,30_trigger,,10,8.066160917809261,0.0,0,9950
global,combine,,10,8.167078331415377,0.0,0,9950
global,global_in_0_trigger,,10,8.134753442505497,0.0,0,9950
global,global_in_20_trigger,,10,8.202684732561734,0.0,0,9950
global,global_in_74_trigger,,10,8.202684665085682,0.0,0,9950
global,global_in_95_trigger,,10,8.202684685021788,0.0,0,9950
global,global_in_10_trigger,,10,8.20268463441475,0.0,0,9950
global,global_in_30_trigger,,10,8.202684663552136,0.0,0,9950
global,global_in_44_trigger,,10,8.202684740229468,0.0,0,9950
global,global_in_55_trigger,,10,8.202684574606431,0.0,0,9950
global,combine,,11,9.926437341124569,0.0,0,9950
global,global_in_0_trigger,,11,9.85941873981725,0.0,0,9950
global,global_in_20_trigger,,11,9.901690232166693,0.0,0,9950
global,global_in_74_trigger,,11,9.901690127885521,0.0,0,9950
global,global_in_95_trigger,,11,9.901690330313677,0.0,0,9950
global,global_in_10_trigger,,11,9.901690161623547,0.0,0,9950
global,global_in_30_trigger,,11,9.901690259770533,0.0,0,9950
global,global_in_44_trigger,,11,9.90169024750216,0.0,0,9950
global,global_in_55_trigger,,11,9.901690121751335,0.0,0,9950
0,0_trigger,,12,8.84759937688933,0.0,0,9950
30,30_trigger,,12,7.782939138747939,0.0,0,9950
global,combine,,12,11.624155837782663,0.0,0,9950
global,global_in_0_trigger,,12,11.484924310272064,0.0,0,9950
global,global_in_20_trigger,,12,11.59685873213725,0.0,0,9950
global,global_in_74_trigger,,12,11.596858753606902,0.0,0,9950
global,global_in_95_trigger,,12,11.596858726003061,0.0,0,9950
global,global_in_10_trigger,,12,11.596858679996663,0.0,0,9950
global,global_in_30_trigger,,12,11.596858848686793,0.0,0,9950
global,global_in_44_trigger,,12,11.596858860955166,0.0,0,9950
global,global_in_55_trigger,,12,11.596858750539809,0.0,0,9950
global,combine,,13,12.53171387638878,0.0,0,9950
global,global_in_0_trigger,,13,12.379097878920971,0.0,0,9950
global,global_in_20_trigger,,13,12.524655206574867,0.0,0,9950
global,global_in_74_trigger,,13,12.524655286319291,0.0,0,9950
global,global_in_95_trigger,,13,12.524655240312892,0.0,0,9950
global,global_in_10_trigger,,13,12.524655111494974,0.0,0,9950
global,global_in_30_trigger,,13,12.524655234178706,0.0,0,9950
global,global_in_44_trigger,,13,12.524655157501375,0.0,0,9950
global,global_in_55_trigger,,13,12.524655099226601,0.0,0,9950
30,30_trigger,,14,8.26120960024733,0.0,0,9950
global,combine,,14,15.168197926276893,0.0,0,9950
global,global_in_0_trigger,,14,14.929960388490302,0.0,0,9950
global,global_in_20_trigger,,14,14.991515950725306,0.0,0,9950
global,global_in_74_trigger,,14,14.991515662418538,0.0,0,9950
global,global_in_95_trigger,,14,14.99151584337704,0.0,0,9950
global,global_in_10_trigger,,14,14.991515647083071,0.0,0,9950
global,global_in_30_trigger,,14,14.991515726827497,0.0,0,9950
global,global_in_44_trigger,,14,14.99151576669971,0.0,0,9950
global,global_in_55_trigger,,14,14.991515824974481,0.0,0,9950
20,20_trigger,,15,7.755035362051959,0.0,0,9950
global,combine,,15,14.474849120480332,0.0,0,9950
global,global_in_0_trigger,,15,14.232347356901697,0.0,0,9950
global,global_in_20_trigger,,15,14.138498154836684,0.0,0,9950
global,global_in_74_trigger,,15,14.138498455411824,0.0,0,9950
global,global_in_95_trigger,,15,14.138498154836684,0.0,0,9950
global,global_in_10_trigger,,15,14.138498286721694,0.0,0,9950
global,global_in_30_trigger,,15,14.138498047488419,0.0,0,9950
global,global_in_44_trigger,,15,14.13849833886228,0.0,0,9950
global,global_in_55_trigger,,15,14.138498203910176,0.0,0,9950
74,74_trigger,,16,11.88393048617109,0.0,0,9950
global,combine,,16,17.343767396553076,0.0,0,9950
global,global_in_0_trigger,,16,17.392065435821685,0.0,0,9950
global,global_in_20_trigger,,16,17.195861178450848,0.0,0,9950
global,global_in_74_trigger,,16,17.195861282732018,0.0,0,9950
global,global_in_95_trigger,,16,17.19586112324317,0.0,0,9950
global,global_in_10_trigger,,16,17.195861178450848,0.0,0,9950
global,global_in_30_trigger,,16,17.195861212188873,0.0,0,9950
global,global_in_44_trigger,,16,17.195860963754317,0.0,0,9950
global,global_in_55_trigger,,16,17.19586119071922,0.0,0,9950
global,combine,,17,15.930844956594497,0.0,0,9950
global,global_in_0_trigger,,17,16.252451128935693,0.0,0,9950
global,global_in_20_trigger,,17,16.2065991425634,0.0,0,9950
global,global_in_74_trigger,,17,16.206599081221537,0.0,0,9950
global,global_in_95_trigger,,17,16.206599167100148,0.0,0,9950
global,global_in_10_trigger,,17,16.2065991885698,0.0,0,9950
global,global_in_30_trigger,,17,16.206599164033054,0.0,0,9950
global,global_in_44_trigger,,17,16.206599237643296,0.0,0,9950
