model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
74,74_trigger,,1,10.776329161677529,0.0,0,9950
global,combine,,1,5.622974292237555,0.0,0,9950
global,global_in_0_trigger,,1,5.595511232309006,0.0,0,9950
global,global_in_20_trigger,,1,5.5937480155906485,0.0,0,9950
global,global_in_74_trigger,,1,5.593747987986809,0.0,0,9950
global,global_in_95_trigger,,1,5.593748006389369,0.0,0,9950
global,global_in_10_trigger,,1,5.59374792357785,0.0,0,9950
global,global_in_30_trigger,,1,5.593747968050702,0.0,0,9950
global,global_in_44_trigger,,1,5.593747960382969,0.0,0,9950
global,global_in_55_trigger,,1,5.593747957315876,0.0,0,9950
30,30_trigger,,2,5.9345696837458775,0.0,0,9950
55,55_trigger,,2,8.046298243843731,0.0,0,9950
global,combine,,2,5.362582283978486,0.0,0,9950
global,global_in_0_trigger,,2,5.3507630007949905,0.0,0,9950
global,global_in_20_trigger,,2,5.3521300855473655,0.0,0,9950
global,global_in_74_trigger,,2,5.352130068678353,0.0,0,9950
global,global_in_95_trigger,,2,5.35213003340678,0.0,0,9950
global,global_in_10_trigger,,2,5.352130093215099,0.0,0,9950
global,global_in_30_trigger,,2,5.3521300472087,0.0,0,9950
global,global_in_44_trigger,,2,5.352130027272594,0.0,0,9950
global,global_in_55_trigger,,2,5.3521300165377665,0.0,0,9950
20,20_trigger,,3,6.6811753178122055,0.0,0,9950
0,0_trigger,,3,7.995919882616206,0.0,0,9950
global,combine,,3,5.36258224103918,0.0,0,9950
global,global_in_0_trigger,,3,5.350762974724698,0.0,0,9950
global,global_in_20_trigger,,3,5.352130093215099,0.0,0,9950
global,global_in_74_trigger,,3,5.352130068678353,0.0,0,9950
global,global_in_95_trigger,,3,5.3521300472087,0.0,0,9950
global,global_in_10_trigger,,3,5.352130044141607,0.0,0,9950
global,global_in_30_trigger,,3,5.352130064077713,0.0,0,9950
global,global_in_44_trigger,,3,5.3521300012023,0.0,0,9950
global,global_in_55_trigger,,3,5.352130079413179,0.0,0,9950
global,combine,,4,5.362582239505634,0.0,0,9950
global,global_in_0_trigger,,4,5.3507629885266175,0.0,0,9950
global,global_in_20_trigger,,4,5.35213001500422,0.0,0,9950
global,global_in_74_trigger,,4,5.352130057943526,0.0,0,9950
global,global_in_95_trigger,,4,5.352130110084112,0.0,0,9950
global,global_in_10_trigger,,4,5.3521300855473655,0.0,0,9950
global,global_in_30_trigger,,4,5.3521300978157385,0.0,0,9950
global,global_in_44_trigger,,4,5.352130087080912,0.0,0,9950
global,global_in_55_trigger,,4,5.352129998135207,0.0,0,9950
95,95_trigger,,5,7.648668401516861,0.0,0,9950
global,combine,,5,5.316368047819664,0.0,0,9950
global,global_in_0_trigger,,5,5.3208960221640424,0.0,0,9950
global,global_in_20_trigger,,5,5.32225306218593,0.0,0,9950
global,global_in_74_trigger,,5,5.32225307598785,0.0,0,9950
global,global_in_95_trigger,,5,5.322253137329715,0.0,0,9950
global,global_in_10_trigger,,5,5.322253077521396,0.0,0,9950
global,global_in_30_trigger,,5,5.32225303918273,0.0,0,9950
global,global_in_44_trigger,,5,5.322253049917556,0.0,0,9950
global,global_in_55_trigger,,5,5.322252996243424,0.0,0,9950
0,0_trigger,,6,8.19988923806042,0.0,0,9950
20,20_trigger,,6,7.360764778175546,0.0,0,9950
74,74_trigger,,6,11.10426618566465,0.0,0,9950
global,combine,,6,5.316368069289318,0.0,0,9950
global,global_in_0_trigger,,6,5.320896088106548,0.0,0,9950
global,global_in_20_trigger,,6,5.3222530284479035,0.0,0,9950
global,global_in_74_trigger,,6,5.322253023847264,0.0,0,9950
global,global_in_95_trigger,,6,5.322253111259422,0.0,0,9950
global,global_in_10_trigger,,6,5.32225307598785,0.0,0,9950
global,global_in_30_trigger,,6,5.32225303918273,0.0,0,9950
global,global_in_44_trigger,,6,5.32225302078017,0.0,0,9950
global,global_in_55_trigger,,6,5.322253068320117,0.0,0,9950
global,combine,,7,5.316368084624784,0.0,0,9950
global,global_in_0_trigger,,7,5.32089600069439,0.0,0,9950
global,global_in_20_trigger,,7,5.322253083655583,0.0,0,9950
