local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
89,1,1,1,0.06105309724807739,36.38392857142857,326,896
89,2,1,2,0.03360510244965553,49.21875,441,896
91,1,1,1,0.051781222224235535,31.844660194174757,328,1030
91,2,1,2,0.025696270167827606,59.70873786407766,615,1030
69,1,1,1,0.05611490085721016,48.13559322033898,284,590
69,2,1,2,0.030924350023269653,76.27118644067797,450,590
74,1,1,1,0.04337750002741814,32.53865979381443,505,1552
74,2,1,2,0.020946230739355087,49.097938144329895,762,1552
59,1,1,1,0.05381939560174942,27.180899908172634,296,1089
59,2,1,2,0.03111496940255165,44.62809917355372,486,1089
60,1,1,1,0.04985394701361656,24.33767400089807,542,2227
60,2,1,2,0.028389019891619682,44.99326448136507,1002,2227
29,1,1,1,0.048237625509500504,31.180555555555557,449,1440
29,2,1,2,0.028390632942318916,46.041666666666664,663,1440
99,1,1,1,0.06687097996473312,21.47477360931436,166,773
99,2,1,2,0.03293881192803383,48.253557567917206,373,773
17,1,1,1,0.05155196040868759,23.951715374841168,377,1574
17,2,1,2,0.027794010937213898,42.31257941550191,666,1574
84,1,1,1,0.06275634467601776,26.80672268907563,319,1190
84,2,1,2,0.032633841037750244,38.57142857142858,459,1190
69,3,2,1,0.057504523545503616,46.271186440677965,273,590
69,4,2,2,0.02923707477748394,76.27118644067797,450,590
51,3,2,1,0.06034909188747406,21.734985700667302,228,1049
51,4,2,2,0.0301953237503767,49.952335557673976,524,1049
47,3,2,1,0.12145069241523743,0.0,0,134
47,4,2,2,0.11045664548873901,14.17910447761194,19,134
25,3,2,1,0.05810987204313278,43.6231884057971,301,690
25,4,2,2,0.02826722338795662,66.52173913043478,459,690
26,3,2,1,0.055545445531606674,22.06085753803596,319,1446
26,4,2,2,0.03543699532747269,31.3969571230982,454,1446
30,3,2,1,0.08173063397407532,13.786008230452676,67,486
30,4,2,2,0.041959989815950394,43.415637860082306,211,486
90,3,2,1,0.05786304175853729,45.05169867060561,305,677
90,4,2,2,0.022796938195824623,65.87887740029542,446,677
31,3,2,1,0.08162293583154678,11.73913043478261,54,460
31,4,2,2,0.03827488049864769,40.65217391304348,187,460
7,3,2,1,0.05415308102965355,38.38383838383838,342,891
7,4,2,2,0.02635543793439865,50.39281705948373,449,891
55,3,2,1,0.05726844072341919,21.755368814192344,233,1071
55,4,2,2,0.0288426261395216,48.4593837535014,519,1071
81,5,3,1,0.06772342324256897,30.361757105943155,235,774
81,6,3,2,0.03602940961718559,36.95090439276486,286,774
63,5,3,1,0.0549653097987175,28.153153153153156,250,888
63,6,3,2,0.025667704641819,51.57657657657657,458,888
8,5,3,1,0.06006581336259842,14.540647719762061,220,1513
8,6,3,2,0.0371091291308403,29.015201586252477,439,1513
90,5,3,1,0.05727425217628479,46.67651403249631,316,677
90,6,3,2,0.021678971126675606,68.68537666174298,465,677
20,5,3,1,0.056734561920166016,42.75092936802974,345,807
20,6,3,2,0.03264210745692253,52.168525402726154,421,807
15,5,3,1,0.05873315408825874,27.729636048526864,320,1154
15,6,3,2,0.028147246688604355,36.48180242634315,421,1154
4,5,3,1,0.06077108904719353,36.847946725860155,332,901
4,6,3,2,0.032047271728515625,43.951165371809104,396,901
75,5,3,1,0.06312348693609238,30.927835051546392,240,776
75,6,3,2,0.029810506850481033,54.38144329896907,422,776
0,5,3,1,0.058440014719963074,21.48461074230537,356,1657
0,6,3,2,0.034929659217596054,31.261315630657815,518,1657
12,5,3,1,0.08848803490400314,6.21301775147929,21,338
12,6,3,2,0.04736544191837311,40.828402366863905,138,338
22,7,4,1,0.04590000584721565,36.734693877551024,540,1470
22,8,4,2,0.023935606703162193,55.78231292517006,820,1470
69,7,4,1,0.059691011905670166,47.62711864406779,281,590
69,8,4,2,0.02990618161857128,76.27118644067797,450,590
34,7,4,1,0.05791707709431648,26.138752627890682,373,1427
34,8,4,2,0.033564142882823944,41.6958654519972,595,1427
81,7,4,1,0.06906069815158844,30.620155038759687,237,774
81,8,4,2,0.035188592970371246,35.400516795865634,274,774
7,7,4,1,0.052075546234846115,39.73063973063973,354,891
