model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.343866581749078,0.0,0,9950
global,2,5.318825772539455,0.0,0,9950
global,3,5.333868731781466,0.0,0,9950
global,4,5.346197313471655,0.0,0,9950
global,5,5.336195539158194,0.0,0,9950
global,6,5.345783803355155,0.0,0,9950
global,7,5.356636324935223,0.0,0,9950
global,8,5.364857591791968,0.0,0,9950
global,9,5.371031507942544,0.0,0,9950
global,10,5.383027816082365,0.0,0,9950
global,11,5.3583074491107885,0.0,0,9950
global,12,5.36885195478123,0.0,0,9950
global,13,5.351327425702732,0.0,0,9950
global,14,5.326051295294834,0.0,0,9950
global,15,5.3333290843867776,0.0,0,9950
global,16,5.348762116551998,0.0,0,9950
global,17,5.3560541814296085,0.0,0,9950
global,18,5.332942667438756,0.0,0,9950
global,19,5.336827897114969,0.0,0,9950
global,20,5.349268544259383,0.0,0,9950
0,21,0.8889032894882125,94.37185929648241,9390,9950
0,21,nan,0.0,0,9950
global,21,1.8137829225626423,0.3015075376884422,30,9950
global,22,1.9892435735194527,0.3015075376884422,30,9950
20,23,0.43649063589584886,96.76381909547739,9628,9950
20,23,nan,0.0,0,9950
global,23,0.7188534003406314,86.56281407035176,8613,9950
global,24,0.8089249082785755,86.8140703517588,8638,9950
74,25,0.17989457585703789,94.29145728643216,9382,9950
74,25,nan,0.0,0,9950
global,25,0.25433574561497674,91.63819095477386,9118,9950
global,26,0.4569243625660038,84.8140703517588,8439,9950
95,27,0.08848889413191445,95.04522613065328,9457,9950
95,27,nan,0.0,0,9950
global,27,0.18225708534969157,89.93969849246231,8949,9950
global,28,0.31534379791374784,84.08040201005025,8366,9950
5,29,0.27828004146940144,92.74371859296483,9228,9950
5,29,nan,0.0,0,9950
global,29,0.7231966568836615,75.77889447236181,7540,9950
global,30,1.3709547029428146,61.417085427135675,6111,9950
10,31,0.277686878137253,92.06030150753769,9160,9950
10,31,nan,0.0,0,9950
global,31,0.4925921615523909,84.47236180904522,8405,9950
global,32,1.0358067891106533,69.95979899497488,6961,9950
15,33,0.5531897630164372,80.55276381909547,8015,9950
15,33,nan,0.0,0,9950
global,33,0.709012847401988,74.7537688442211,7438,9950
global,34,1.0935387999568154,63.688442211055275,6337,9950
25,35,0.2830111227562679,89.89949748743719,8945,9950
25,35,nan,0.0,0,9950
global,35,0.48633555004944157,78.40201005025126,7801,9950
global,36,0.7932354147829602,68.39195979899498,6805,9950
30,37,0.26466682558682697,91.0251256281407,9057,9950
30,37,nan,0.0,0,9950
global,37,0.4534155658741093,82.36180904522612,8195,9950
global,38,0.6125467068466109,77.88944723618091,7750,9950
37,39,0.20000289260442533,91.46733668341709,9101,9950
37,39,nan,0.0,0,9950
global,39,0.3644415318666391,83.27638190954774,8286,9950
global,40,0.707848220518486,71.67839195979899,7132,9950
44,41,0.5483388022801385,83.62814070351759,8321,9950
44,41,nan,0.0,0,9950
global,41,0.7778708021844452,75.21608040201005,7484,9950
global,42,1.1398259574085026,68.2110552763819,6787,9950
49,43,0.2041893354252954,98.03015075376884,9754,9950
49,43,nan,0.0,0,9950
global,43,0.2574847398690842,95.60804020100502,9513,9950
global,44,0.35390364757135284,92.74371859296483,9228,9950
55,45,0.2259667875778735,93.10552763819095,9264,9950
55,45,nan,0.0,0,9950
global,45,0.3839639768169154,86.4321608040201,8600,9950
global,46,0.7108449284155764,76.69346733668341,7631,9950
61,47,0.08132813832268643,99.79899497487436,9930,9950
61,47,nan,0.0,0,9950
global,47,0.13739794414846143,99.42713567839196,9893,9950
global,48,0.29912878055668357,94.29145728643216,9382,9950
65,49,0.34679962541589787,91.678391959799,9122,9950
65,49,nan,0.0,0,9950
global,49,0.5513009426941224,82.95477386934674,8254,9950
global,50,0.7714078395210918,75.63819095477386,7526,9950
85,51,0.5513261363733953,85.07537688442211,8465,9950
85,51,nan,0.0,0,9950
global,51,0.7902505696358992,75.3467336683417,7497,9950
global,52,1.1230763723862232,66.22110552763819,6589,9950
global,53,1.3083588118049967,62.834170854271356,6252,9950
global,54,1.3819818023221577,62.17085427135678,6186,9950
global,55,1.4617739155064875,61.29648241206031,6099,9950
