local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
98,1,1,1,0.0833292081952095,3.2171581769436997,12,373
98,2,1,2,0.04972843453288078,41.01876675603217,153,373
0,1,1,1,0.05863609164953232,22.933011466505736,380,1657
0,2,1,2,0.03556333854794502,27.821363910681956,461,1657
77,1,1,1,0.054232776165008545,23.059701492537314,309,1340
77,2,1,2,0.02726341038942337,42.68656716417911,572,1340
44,1,1,1,0.0594576857984066,22.114285714285714,387,1750
44,2,1,2,0.03532489389181137,38.285714285714285,670,1750
66,1,1,1,0.062407106161117554,17.76034236804565,249,1402
66,2,1,2,0.03887738659977913,25.392296718972894,356,1402
67,1,1,1,0.07943219691514969,10.7981220657277,46,426
67,2,1,2,0.042021606117486954,40.845070422535215,174,426
33,1,1,1,0.0801604837179184,10.87378640776699,56,515
33,2,1,2,0.05436300113797188,24.854368932038835,128,515
25,1,1,1,0.05752234905958176,42.7536231884058,295,690
25,2,1,2,0.0281646940857172,66.08695652173913,456,690
19,1,1,1,0.046757906675338745,37.74131274131275,391,1036
19,2,1,2,0.025360019877552986,61.969111969111964,642,1036
92,1,1,1,0.051340628415346146,27.638483965014576,474,1715
92,2,1,2,0.030477870255708694,42.565597667638485,730,1715
77,3,2,1,0.05259145051240921,25.671641791044774,344,1340
77,4,2,2,0.027434485033154488,40.52238805970149,543,1340
57,3,2,1,0.0568462610244751,26.083188908145583,301,1154
57,4,2,2,0.02667924389243126,38.73483535528596,447,1154
52,3,2,1,0.05693426355719566,44.0251572327044,280,636
52,4,2,2,0.03216312453150749,67.13836477987421,427,636
28,3,2,1,0.0563291534781456,23.655913978494624,374,1581
28,4,2,2,0.034122586250305176,37.571157495256166,594,1581
29,3,2,1,0.04963921383023262,29.097222222222225,419,1440
29,4,2,2,0.02739359810948372,48.75,702,1440
61,3,2,1,0.12583808600902557,0.0,0,85
61,4,2,2,0.11814369261264801,5.88235294117647,5,85
99,3,2,1,0.06596597284078598,21.992238033635186,170,773
99,4,2,2,0.03167717903852463,53.557567917205695,414,773
34,3,2,1,0.05863415449857712,25.998598458304134,371,1427
34,4,2,2,0.03329608961939812,40.36440084092502,576,1427
8,3,2,1,0.06040720269083977,15.267680105750165,231,1513
8,4,2,2,0.03679647669196129,32.650363516192996,494,1513
85,3,2,1,0.054694075137376785,21.47887323943662,427,1988
85,4,2,2,0.03538433462381363,33.04828973843058,657,1988
89,5,3,1,0.06109113618731499,36.830357142857146,330,896
89,6,3,2,0.033445652574300766,49.776785714285715,446,896
70,5,3,1,0.05583268031477928,23.76586741889986,337,1418
70,6,3,2,0.03135337308049202,45.13399153737659,640,1418
9,5,3,1,0.049281422048807144,28.941176470588236,369,1275
9,6,3,2,0.0192340686917305,56.31372549019608,718,1275
99,5,3,1,0.06581306457519531,23.02716688227684,178,773
99,6,3,2,0.03128673881292343,50.32341526520052,389,773
37,5,3,1,0.053264278918504715,32.152347209920286,363,1129
37,6,3,2,0.025789599865674973,60.4074402125775,682,1129
17,5,3,1,0.051815215498209,26.04828462515883,410,1574
17,6,3,2,0.02812250144779682,40.978398983481576,645,1574
4,5,3,1,0.06374387443065643,35.405105438401776,319,901
4,6,3,2,0.0330834686756134,45.72697003329634,412,901
82,5,3,1,0.07737917453050613,13.200000000000001,66,500
82,6,3,2,0.04938502982258797,34.8,174,500
30,5,3,1,0.08049539476633072,14.814814814814813,72,486
30,6,3,2,0.04191655293107033,43.415637860082306,211,486
13,5,3,1,0.05811247229576111,18.480243161094226,304,1645
13,6,3,2,0.03302927687764168,39.392097264437695,648,1645
24,7,4,1,0.07671259343624115,11.538461538461538,36,312
24,8,4,2,0.0406317375600338,53.52564102564102,167,312
77,7,4,1,0.05285557359457016,24.104477611940297,323,1340
77,8,4,2,0.02698148414492607,42.014925373134325,563,1340
38,7,4,1,0.06168261170387268,22.015915119363395,249,1131
38,8,4,2,0.03090587444603443,43.76657824933687,495,1131
89,7,4,1,0.06047172471880913,36.941964285714285,331,896
89,8,4,2,0.03288156911730766,51.11607142857143,458,896
8,7,4,1,0.05976533144712448,16.58955717118308,251,1513
8,8,4,2,0.036577194929122925,31.328486450760078,474,1513
28,7,4,1,0.056243106722831726,23.972169512966477,379,1581
28,8,4,2,0.033938974142074585,38.20366856419987,604,1581
48,7,4,1,0.07148630172014236,16.323296354992074,103,631
48,8,4,2,0.041321586817502975,33.43898573692552,211,631
62,7,4,1,0.06909611076116562,24.295774647887324,138,568
62,8,4,2,0.04108446463942528,46.478873239436616,264,568
16,7,4,1,0.06495805084705353,38.559322033898304,273,708
16,8,4,2,0.035871006548404694,60.16949152542372,426,708
76,7,4,1,0.0854160413146019,9.871244635193133,46,466
76,8,4,2,0.04882143810391426,38.62660944206009,180,466
73,9,5,1,0.06573957949876785,17.91044776119403,168,938
73,10,5,2,0.033579692244529724,32.40938166311301,304,938
49,9,5,1,0.0802445113658905,7.045454545454545,31,440
49,10,5,2,0.04793912544846535,34.77272727272727,153,440
66,9,5,1,0.06132115051150322,18.830242510699,264,1402
66,10,5,2,0.03860507160425186,26.60485021398003,373,1402
2,9,5,1,0.06316142529249191,38.34710743801653,232,605
2,10,5,2,0.03928413242101669,53.884297520661164,326,605
62,9,5,1,0.06843093037605286,26.23239436619718,149,568
62,10,5,2,0.041120342910289764,46.83098591549296,266,568
24,9,5,1,0.07603389024734497,13.461538461538462,42,312
24,10,5,2,0.040653735399246216,53.84615384615385,168,312
56,9,5,1,0.08314168453216553,0.0,0,186
56,10,5,2,0.06786958128213882,33.87096774193548,63,186
25,9,5,1,0.05742485076189041,44.05797101449275,304,690
25,10,5,2,0.02674778178334236,66.95652173913044,462,690
10,9,5,1,0.057851988822221756,23.228803716608596,200,861
10,10,5,2,0.021799450740218163,48.78048780487805,420,861
97,9,5,1,0.05289246141910553,30.585325638911787,371,1213
97,10,5,2,0.027296043932437897,40.3957131079967,490,1213
50,11,6,1,0.06270769238471985,20.27194066749073,164,809
50,12,6,2,0.02757776714861393,43.016069221260814,348,809
99,11,6,1,0.06380121409893036,25.873221216041397,200,773
99,12,6,2,0.032752759754657745,50.840879689521344,393,773
30,11,6,1,0.07936222851276398,15.637860082304528,76,486
30,12,6,2,0.04088309407234192,43.415637860082306,211,486
37,11,6,1,0.05132262408733368,37.37821080602303,422,1129
37,12,6,2,0.02462196908891201,65.0132860938884,734,1129
67,11,6,1,0.07754857838153839,11.267605633802818,48,426
67,12,6,2,0.042541418224573135,41.31455399061033,176,426
0,11,6,1,0.05779328942298889,23.053711526855764,382,1657
