model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.380044261223108,0.0,0,9950
global,2,5.372922222194959,0.0,0,9950
global,3,5.537293547817211,0.0,0,9950
global,4,5.64974702001217,0.0,0,9950
global,5,5.953247653060223,0.0,0,9950
global,6,6.783181474388544,0.0,0,9950
global,7,6.757551225058397,0.0,0,9950
global,8,7.38843036747458,0.0,0,9950
global,9,8.833203223146985,0.0,0,9950
global,10,9.958006082659391,0.0,0,9950
global,11,11.493077579670816,0.0,0,9950
global,12,11.400068239758362,0.0,0,9950
global,13,11.775066598863457,0.0,0,9950
global,14,13.619996715143099,0.0,0,9950
global,15,12.655763911721694,0.0,0,9950
global,16,15.450299461786472,0.0,0,9950
global,17,15.888285264825102,0.0,0,9950
global,18,17.880788813452025,0.0,0,9950
global,19,16.13695159145336,0.0,0,9950
global,20,17.399064481342258,0.0,0,9950
0,21,0.8925016815338902,83.93969849246231,8352,9950
0,21,nan,0.0,0,9950
global,21,18.429160628582366,0.0,0,9950
global,22,18.18594592837233,0.0,0,9950
20,23,0.7156605345759559,84.84422110552764,8442,9950
20,23,nan,0.0,0,9950
global,23,19.56263308117737,0.0,0,9950
global,24,17.464851512813087,0.0,0,9950
74,25,0.8432532186843642,76.51256281407035,7613,9950
74,25,nan,0.0,0,9950
global,25,14.943286933323845,0.0,0,9950
global,26,15.910454303990656,0.0,0,9950
95,27,0.7433957123876217,54.402010050251256,5413,9950
95,27,nan,0.0,0,9950
global,27,13.62799802847244,0.0,0,9950
global,28,15.707652370127002,0.0,0,9950
5,29,0.7779004550339589,83.44723618090453,8303,9950
5,29,nan,0.0,0,9950
global,29,13.359790419382067,0.0,0,9950
global,30,15.56601540110219,0.0,0,9950
10,31,1.0493741001915093,63.45728643216081,6314,9950
10,31,nan,0.0,0,9950
global,31,20.007031532172583,0.0,0,9950
global,32,18.896580528374294,0.0,0,9950
15,33,1.0127340985782183,65.31658291457286,6499,9950
15,33,nan,0.0,0,9950
global,33,20.273126840255966,0.0,0,9950
global,34,6.013077099670717,0.0,0,9950
25,35,1.0618210724490371,44.25125628140704,4403,9950
25,35,nan,0.0,0,9950
global,35,6.0380022227225,0.0,0,9950
global,36,21.010766159901067,0.0,0,9950
30,37,1.1872026338050115,49.35678391959799,4911,9950
30,37,nan,0.0,0,9950
global,37,23.91246159999215,0.0,0,9950
global,38,19.356808057622096,0.0,0,9950
37,39,1.1705424039447727,45.57788944723618,4535,9950
37,39,nan,0.0,0,9950
global,39,6.273299405658665,0.0,0,9950
global,40,19.20847880761228,0.0,0,9950
44,41,0.9292232153044274,83.57788944723617,8316,9950
44,41,nan,0.0,0,9950
global,41,26.655534146562893,0.0,0,9950
global,42,5.956852970602524,0.0,0,9950
49,43,1.4249991780190012,49.78894472361809,4954,9950
49,43,nan,0.0,0,9950
global,43,6.180008704410725,0.0,0,9950
global,44,5.944075110354016,0.0,0,9950
55,45,1.0360567443694302,62.41206030150753,6210,9950
55,45,nan,0.0,0,9950
global,45,6.036740435883028,0.0,0,9950
global,46,6.165179720931317,0.0,0,9950
61,47,2.923714427085378,38.46231155778895,3827,9950
61,47,nan,0.0,0,9950
global,47,6.260173053070528,0.0,0,9950
global,48,6.0002473426703835,0.0,0,9950
65,49,1.009159542639651,71.34673366834171,7099,9950
65,49,nan,0.0,0,9950
global,49,6.145130176640036,0.0,0,9950
global,50,6.028207734841198,0.0,0,9950
85,51,0.9380678209467749,77.57788944723617,7719,9950
85,51,nan,0.0,0,9950
global,51,6.077897114969378,0.0,0,9950
global,52,5.641805065672601,0.0,0,9950
global,53,5.286700459389231,0.0,0,9950
global,54,5.671728486487614,0.0,0,9950
global,55,5.587109069824219,0.0,0,9950
global,56,5.622465521270906,0.0,0,9950
global,57,5.604154759699376,0.0,0,9950
global,58,4.969199701817192,0.0,0,9950
global,59,4.707014048207346,0.0,0,9950
global,60,4.952893954329754,0.0,0,9950
global,61,5.242972585400145,0.0,0,9950
global,62,4.933978486180904,0.0,0,9950
global,63,5.584349602934104,0.0,0,9950
global,64,5.808764051887858,0.0,0,9950
global,65,6.094328073472833,0.0,0,9950
global,66,6.671162974295305,0.0,0,9950
global,67,6.539353171497134,0.0,0,9950
global,68,6.512548616495564,0.0,0,9950
global,69,6.564479163088391,0.0,0,9950
global,70,23.907468157437577,0.0,0,9950
global,71,6.578105540826692,0.0,0,9950
global,72,7.266264861600483,0.0,0,9950
global,73,7.093155585054177,0.0,0,9950
global,74,6.40534668428814,0.0,0,9950
global,75,6.764024297819665,0.0,0,9950
global,76,15.687206080451084,0.06030150753768845,6,9950
global,77,10.009844323546442,0.05025125628140704,5,9950
global,78,6.776929661736417,0.0,0,9950
global,79,6.1991156971993755,0.0,0,9950
global,80,25.85199819286864,0.06030150753768845,6,9950
global,81,6.2669649072388305,0.0,0,9950
global,82,6.623391726699905,0.0,0,9950
global,83,11.262520153869936,0.020100502512562814,2,9950
global,84,9.949509973573925,0.06030150753768845,6,9950
global,85,10.767242563525636,0.08040201005025126,8,9950
global,86,6.753607558053941,0.0,0,9950
global,87,19.565242367845084,0.0,0,9950
