model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.345165544826182,0.0,0,9950
global,2,5.320240368100267,0.0,0,9950
global,3,5.341534318013407,0.0,0,9950
global,4,5.349275244324651,0.0,0,9950
global,5,5.346578717255712,0.0,0,9950
global,6,5.362112376150773,0.0,0,9950
global,7,5.380973524544107,0.0,0,9950
global,8,5.397491826196411,0.0,0,9950
global,9,5.4124378606901695,0.0,0,9950
global,10,5.427981889427607,0.0,0,9950
global,11,5.427300485582208,0.0,0,9950
global,12,5.43212873755987,0.0,0,9950
global,13,5.428321674289416,0.0,0,9950
global,14,5.3902887990366875,0.0,0,9950
global,15,5.404600281068428,0.0,0,9950
global,16,5.413037423752061,0.0,0,9950
global,17,5.420098840148006,0.0,0,9950
global,18,5.411497019092042,0.0,0,9950
global,19,5.427997362913199,0.0,0,9950
global,20,5.4234490583410215,0.0,0,9950
0,21,1.051906013872156,90.03015075376885,8958,9950
0,21,nan,0.0,0,9950
global,21,5.420239489378043,0.0,0,9950
global,22,5.359778088133539,0.0,0,9950
20,23,0.9727233748699552,83.85929648241206,8344,9950
20,23,nan,0.0,0,9950
global,23,5.377304511142136,0.0,0,9950
global,24,5.378511771197295,0.0,0,9950
74,25,1.00320332186905,69.33668341708542,6899,9950
74,25,nan,0.0,0,9950
global,25,5.12385252065994,0.0,0,9950
global,26,5.1383592247124295,0.0,0,9950
95,27,0.7563635725471841,45.58793969849246,4536,9950
95,27,nan,0.0,0,9950
global,27,5.118357961069998,0.0,0,9950
global,28,5.127752067527579,0.0,0,9950
5,29,0.7649256574927862,92.22110552763819,9176,9950
5,29,nan,0.0,0,9950
global,29,5.0735369351641015,0.0,0,9950
global,30,5.087686019207365,0.0,0,9950
10,31,0.9734283826818418,86.34170854271358,8591,9950
10,31,nan,0.0,0,9950
global,31,5.121012906021808,0.0,0,9950
global,32,5.007334718943841,0.0,0,9950
15,33,0.9763870327436744,75.2462311557789,7487,9950
15,33,nan,0.0,0,9950
global,33,4.8433966570523515,0.1407035175879397,14,9950
global,34,4.863290264187147,0.1407035175879397,14,9950
25,35,0.9662981180929059,54.52261306532663,5425,9950
25,35,nan,0.0,0,9950
global,35,4.871530887469574,0.1407035175879397,14,9950
global,36,4.8886643882253065,0.09045226130653267,9,9950
30,37,0.9835917284021426,69.01507537688443,6867,9950
30,37,nan,0.0,0,9950
global,37,4.9148108278207445,0.10050251256281408,10,9950
global,38,4.928578063351425,0.10050251256281408,10,9950
37,39,0.9706843179674005,61.66834170854272,6136,9950
37,39,nan,0.0,0,9950
global,39,4.947828543964942,0.07035175879396985,7,9950
global,40,4.930588072196922,0.05025125628140704,5,9950
44,41,0.843186695156385,92.32160804020101,9186,9950
44,41,nan,0.0,0,9950
global,41,4.948449500002454,0.06030150753768845,6,9950
global,42,4.953222167048622,0.1206030150753769,12,9950
49,43,1.1558782391572118,83.06532663316582,8265,9950
49,43,nan,0.0,0,9950
global,43,4.975055834899596,0.1206030150753769,12,9950
global,44,4.989746967871585,0.1708542713567839,17,9950
55,45,0.926642276821424,84.80402010050251,8438,9950
55,45,nan,0.0,0,9950
global,45,4.9949443521930945,0.13065326633165827,13,9950
global,46,4.610165189043362,7.0954773869346734,706,9950
61,47,1.4932079510712744,100.0,9950,9950
61,47,nan,0.0,0,9950
global,47,4.4782962634216,16.8643216080402,1678,9950
global,48,4.5169430756688715,8.150753768844222,811,9950
65,49,0.808109000124524,92.05025125628141,9159,9950
65,49,nan,0.0,0,9950
global,49,4.544788027049309,5.306532663316583,528,9950
global,50,4.577201754316014,5.316582914572864,529,9950
85,51,0.9781307356561249,90.41206030150754,8996,9950
85,51,nan,0.0,0,9950
global,51,4.609376440000294,4.9045226130653266,488,9950
global,52,4.647322846225758,4.5125628140703515,449,9950
global,53,4.678439320319861,3.688442211055276,367,9950
global,54,4.4561833950023555,16.050251256281406,1597,9950
global,55,4.499711593551252,14.030150753768844,1396,9950
global,56,4.305551129058378,33.095477386934675,3293,9950
global,57,4.271741372880025,33.788944723618094,3362,9950
global,58,4.30940691847298,30.06030150753769,2991,9950
global,59,4.26878495106146,37.46733668341709,3728,9950
global,60,4.29991508215516,34.552763819095475,3438,9950
global,61,4.285869773979762,30.502512562814072,3035,9950
global,62,4.315931986899831,27.386934673366838,2725,9950
global,63,4.34670878808103,25.336683417085425,2521,9950
global,64,4.374934726120839,24.281407035175878,2416,9950
global,65,4.407242654004888,21.21608040201005,2111,9950
global,66,4.432125307016038,19.859296482412063,1976,9950
global,67,4.383095801271985,27.758793969849243,2762,9950
global,68,4.434188819770238,20.633165829145728,2053,9950
global,69,4.463607584124235,18.78391959798995,1869,9950
global,70,4.491591450293459,17.08542713567839,1700,9950
global,71,4.51186335884746,15.969849246231155,1589,9950
global,72,4.555462674088215,11.949748743718592,1189,9950
global,73,4.582553588253769,7.618090452261307,758,9950
global,74,4.557651167826437,10.201005025125628,1015,9950
global,75,4.581577395338509,9.236180904522612,919,9950
global,76,4.626725706167557,6.743718592964824,671,9950
global,77,4.660491090707444,5.507537688442211,548,9950
global,78,4.681689744498861,4.683417085427136,466,9950
global,79,4.7070594350536865,3.969849246231156,395,9950
