model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.335804211793833,0.0,0,9950
global,2,5.316310584293538,0.0,0,9950
global,3,5.3267926991525005,0.0,0,9950
global,4,5.332517879620269,0.0,0,9950
global,5,5.31614859269492,0.0,0,9950
global,6,5.326130769815876,0.0,0,9950
global,7,5.313978820494072,0.0,0,9950
global,8,5.310772125397495,0.0,0,9950
global,9,5.297871052344241,0.0,0,9950
global,10,5.303209720784096,0.0,0,9950
global,11,5.292809024983315,0.0,0,9950
global,12,5.256939059310223,0.0,0,9950
global,13,5.260843303431218,0.0,0,9950
global,14,5.261253669777108,0.0,0,9950
global,15,5.272630149036196,0.0,0,9950
global,16,5.2314517717984454,0.0,0,9950
global,17,5.209195909356352,0.0,0,9950
global,18,5.216585779237986,0.0,0,9950
global,19,5.1965892113153656,0.0,0,9950
global,20,5.209924408419049,0.0,0,9950
0,21,0.35937661750831795,99.98994974874373,9949,9950
0,21,nan,0.0,0,9950
global,21,0.9402981609555345,100.0,9950,9950
global,22,1.2017136977305964,100.0,9950,9950
3,23,0.2441274092784479,100.0,9950,9950
3,23,nan,0.0,0,9950
global,23,0.41743392905997273,99.97989949748744,9948,9950
global,24,0.6530993579500285,99.81909547738694,9932,9950
5,25,0.06319977027087954,99.95979899497488,9946,9950
5,25,nan,0.0,0,9950
global,25,0.1231441836620695,99.47738693467336,9898,9950
global,26,0.44996755331604926,87.75879396984925,8732,9950
9,27,0.044213677363180034,99.86934673366834,9937,9950
9,27,nan,0.0,0,9950
global,27,0.10486444219272939,98.22110552763819,9773,9950
global,28,0.34177667028340863,89.32663316582915,8888,9950
10,29,0.14812982568788768,99.2462311557789,9875,9950
10,29,nan,0.0,0,9950
global,29,0.36800290946385367,91.41708542713567,9096,9950
global,30,1.0606493835832604,68.31155778894473,6797,9950
12,31,0.07312509512781498,100.0,9950,9950
12,31,nan,0.0,0,9950
global,31,0.35608299447064423,99.77889447236181,9928,9950
global,32,0.6766708893512362,94.98492462311557,9451,9950
15,33,0.4921737565467106,87.53768844221106,8710,9950
15,33,nan,0.0,0,9950
global,33,0.9177236934642696,67.62814070351759,6729,9950
global,34,1.7451640664872212,48.150753768844226,4791,9950
18,35,0.2150859861038438,97.43718592964824,9695,9950
18,35,nan,0.0,0,9950
global,35,0.5258600052876689,81.0251256281407,8062,9950
global,36,1.1585848316595182,58.02010050251256,5773,9950
20,37,0.20080028773552208,97.8894472361809,9740,9950
20,37,nan,0.0,0,9950
global,37,0.6285882830979237,76.05025125628141,7567,9950
global,38,1.4008992399282791,59.42713567839196,5913,9950
24,39,0.06748843600402525,100.0,9950,9950
24,39,nan,0.0,0,9950
global,39,0.18198229655548556,99.91959798994975,9942,9950
global,40,0.3488002698505344,98.87437185929649,9838,9950
25,41,0.18937835247672383,94.98492462311557,9451,9950
25,41,nan,0.0,0,9950
global,41,0.4163045131740858,82.52261306532664,8211,9950
global,42,0.7694505076192731,69.66834170854271,6932,9950
30,43,0.10712470591367788,99.52763819095478,9903,9950
30,43,nan,0.0,0,9950
global,43,0.22539167006411145,95.68844221105527,9521,9950
global,44,0.3984283822026085,89.71859296482411,8927,9950
33,45,0.0954205735364751,100.0,9950,9950
33,45,nan,0.0,0,9950
global,45,0.15298182669596455,100.0,9950,9950
global,46,0.2793750163897797,99.89949748743719,9940,9950
36,47,0.1049928237685007,100.0,9950,9950
36,47,nan,0.0,0,9950
global,47,0.1737774996062619,100.0,9950,9950
global,48,0.3254748878287311,99.74874371859298,9925,9950
37,49,0.16691972368326619,98.40201005025125,9791,9950
37,49,nan,0.0,0,9950
global,49,0.31995951470418194,90.63316582914572,9018,9950
global,50,0.6227947818813612,73.52763819095478,7316,9950
42,51,0.5516327288642001,86.49246231155779,8606,9950
42,51,nan,0.0,0,9950
global,51,1.012093073590916,67.92964824120602,6759,9950
global,52,1.4520353161989146,56.472361809045225,5619,9950
44,53,1.0395631554378337,73.44723618090453,7308,9950
44,53,nan,0.0,0,9950
global,53,1.7165879630084013,53.939698492462306,5367,9950
global,54,2.8859366979551075,35.065326633165824,3489,9950
48,55,0.07817710981896175,99.63819095477386,9914,9950
48,55,nan,0.0,0,9950
global,55,0.20943460689717203,96.66331658291458,9618,9950
global,56,0.6223908431086708,81.82914572864321,8142,9950
49,57,0.1673442318691081,99.96984924623116,9947,9950
49,57,nan,0.0,0,9950
global,57,0.33291337200145626,99.55778894472361,9906,9950
global,58,0.6422969179776445,93.97989949748744,9351,9950
54,59,0.09913486480712891,99.36683417085426,9887,9950
54,59,nan,0.0,0,9950
global,59,0.15899038683828995,98.28140703517589,9779,9950
global,60,0.5413336204643825,83.20603015075378,8279,9950
55,61,0.08172117985672687,99.65829145728642,9916,9950
55,61,nan,0.0,0,9950
global,61,0.12445405365833685,98.21105527638191,9772,9950
global,62,0.29454051166323564,91.87939698492463,9142,9950
60,63,0.17390458015940297,98.73366834170855,9824,9950
60,63,nan,0.0,0,9950
global,63,0.575817213393935,83.04522613065328,8263,9950
global,64,1.749331764719594,52.14070351758794,5188,9950
61,65,0.03654053434055654,99.96984924623116,9947,9950
61,65,nan,0.0,0,9950
global,65,0.17191215126957726,99.36683417085426,9887,9950
global,66,0.4946824218519968,92.52261306532662,9206,9950
65,67,0.42375299952138007,93.75879396984924,9329,9950
65,67,nan,0.0,0,9950
global,67,0.7448456266777,80.19095477386935,7979,9950
global,68,1.1499631998646798,63.46733668341709,6315,9950
69,69,0.24165386976309158,94.5929648241206,9412,9950
69,69,nan,0.0,0,9950
global,69,0.38892970856709697,84.10050251256281,8368,9950
global,70,0.4879708510547427,80.76381909547739,8036,9950
72,71,0.6669711857704661,86.10050251256281,8567,9950
