local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
37,1,1,1,0.05291062593460083,33.92382639503986,383,1129
37,2,1,2,0.02512267231941223,63.77325066430469,720,1129
44,1,1,1,0.05975461006164551,22.57142857142857,395,1750
44,2,1,2,0.03563361242413521,39.08571428571428,684,1750
94,1,1,1,0.05561572313308716,20.216606498194945,336,1662
94,2,1,2,0.03383206948637962,35.55956678700361,591,1662
74,1,1,1,0.0427134744822979,32.603092783505154,506,1552
74,2,1,2,0.020796652883291245,49.48453608247423,768,1552
82,1,1,1,0.07702361047267914,11.200000000000001,56,500
82,2,1,2,0.04916705936193466,35.6,178,500
83,1,1,1,0.054791681468486786,20.78853046594982,406,1953
83,2,1,2,0.03400634601712227,39.989759344598056,781,1953
41,1,1,1,0.06295836716890335,44.22809457579972,318,719
41,2,1,2,0.030659370124340057,61.057023643949925,439,719
65,1,1,1,0.05743195116519928,25.49152542372881,376,1475
65,2,1,2,0.030693579465150833,46.847457627118644,691,1475
26,1,1,1,0.0550229474902153,23.30567081604426,337,1446
26,2,1,2,0.03460879623889923,34.78561549100968,503,1446
24,1,1,1,0.07737299799919128,8.653846153846153,27,312
24,2,1,2,0.04086676612496376,53.84615384615385,168,312
94,3,2,1,0.055467989295721054,20.397111913357403,339,1662
94,4,2,2,0.03365039825439453,35.74007220216607,594,1662
71,3,2,1,0.0651417002081871,18.337408312958438,150,818
71,4,2,2,0.030403900891542435,47.18826405867971,386,818
66,3,2,1,0.062347326427698135,18.40228245363766,258,1402
66,4,2,2,0.038873013108968735,27.81740370898716,390,1402
35,3,2,1,0.08641520142555237,14.391143911439114,39,271
35,4,2,2,0.056915901601314545,35.79335793357934,97,271
38,3,2,1,0.06247815117239952,20.689655172413794,234,1131
38,4,2,2,0.031680647283792496,39.4341290893015,446,1131
84,3,2,1,0.06359504163265228,26.638655462184875,317,1190
84,4,2,2,0.03305165097117424,36.72268907563026,437,1190
42,3,2,1,0.05317342281341553,25.364431486880466,348,1372
42,4,2,2,0.030913501977920532,40.01457725947522,549,1372
43,3,2,1,0.06178738921880722,31.289640591966172,296,946
43,4,2,2,0.03634992614388466,37.10359408033826,351,946
11,3,2,1,0.057572487741708755,48.735955056179776,347,712
11,4,2,2,0.025266993790864944,56.32022471910112,401,712
95,3,2,1,0.051764652132987976,54.92487479131887,329,599
95,4,2,2,0.030243966728448868,81.80300500834724,490,599
15,5,3,1,0.05666414275765419,27.29636048526863,315,1154
15,6,3,2,0.029647208750247955,33.70883882149047,389,1154
88,5,3,1,0.07446058839559555,22.388059701492537,135,603
88,6,3,2,0.04628480225801468,47.92703150912106,289,603
13,5,3,1,0.05865092948079109,18.419452887537993,303,1645
13,6,3,2,0.032907553017139435,36.474164133738604,600,1645
42,5,3,1,0.05360085889697075,25.072886297376094,344,1372
42,6,3,2,0.03129837289452553,36.15160349854227,496,1372
72,5,3,1,0.06246546655893326,20.870265914585012,259,1241
72,6,3,2,0.03701547533273697,33.52135374697824,416,1241
22,5,3,1,0.045310381799936295,35.91836734693877,528,1470
22,6,3,2,0.023701157420873642,58.36734693877551,858,1470
6,5,3,1,0.05510995537042618,19.018404907975462,372,1956
6,6,3,2,0.031631480902433395,34.151329243353786,668,1956
0,5,3,1,0.058355774730443954,21.6053108026554,358,1657
0,6,3,2,0.0346604660153389,32.4079662039831,537,1657
69,5,3,1,0.058749232441186905,46.440677966101696,274,590
69,6,3,2,0.030558213591575623,76.27118644067797,450,590
17,5,3,1,0.05151297524571419,24.1423125794155,380,1574
17,6,3,2,0.02816418558359146,41.10546378653113,647,1574
