model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
37,37_trigger,,1,7.45851599458474,0.0,0,9950
44,44_trigger,,1,8.268524429091258,0.0,0,9950
74,74_trigger,,1,10.597670511983747,0.0,0,9950
65,65_trigger,,1,3.961974094716748,0.0,0,9950
24,24_trigger,,1,5.420289662423445,0.0,0,9950
global,combine,,1,5.366720309616932,0.0,0,9950
global,global_in_0_trigger,,1,5.368533523022829,0.0,0,9950
global,global_in_3_trigger,,1,5.369466588005948,0.0,0,9950
global,global_in_5_trigger,,1,5.367706835569448,0.0,0,9950
global,global_in_9_trigger,,1,5.3691109631408995,0.0,0,9950
global,global_in_10_trigger,,1,5.370280270983826,0.0,0,9950
global,global_in_12_trigger,,1,5.370313219233374,0.0,0,9950
global,global_in_15_trigger,,1,5.37022551723461,0.0,0,9950
global,global_in_18_trigger,,1,5.369611776534037,0.0,0,9950
global,global_in_20_trigger,,1,5.3709702534891255,0.0,0,9950
global,global_in_24_trigger,,1,5.370056836305551,0.0,0,9950
global,global_in_25_trigger,,1,5.3692126587527484,0.0,0,9950
global,global_in_30_trigger,,1,5.370045868379986,0.0,0,9950
global,global_in_33_trigger,,1,5.370245554555002,0.0,0,9950
global,global_in_36_trigger,,1,5.370245510082149,0.0,0,9950
global,global_in_37_trigger,,1,5.370245574491108,0.0,0,9950
global,global_in_42_trigger,,1,5.370245507015055,0.0,0,9950
global,global_in_44_trigger,,1,5.370245565289828,0.0,0,9950
global,global_in_48_trigger,,1,5.370245496280229,0.0,0,9950
global,global_in_49_trigger,,1,5.370245563756281,0.0,0,9950
global,global_in_54_trigger,,1,5.370245554555002,0.0,0,9950
global,global_in_55_trigger,,1,5.370245528484709,0.0,0,9950
global,global_in_60_trigger,,1,5.370245589826574,0.0,0,9950
global,global_in_61_trigger,,1,5.3702455223505225,0.0,0,9950
global,global_in_65_trigger,,1,5.370245531551802,0.0,0,9950
global,global_in_69_trigger,,1,5.37024546867639,0.0,0,9950
global,global_in_72_trigger,,1,5.370245586759481,0.0,0,9950
