model,epoch,average_loss,accuracy,correct_data,total_data
global,1,5.6229743719819805,0.0,0,9950
global,2,5.622974336710407,0.0,0,9950
global,3,5.622974260033075,0.0,0,9950
global,4,5.622974336710407,0.0,0,9950
global,5,5.6229743029723815,0.0,0,9950
global,6,5.622974266167262,0.0,0,9950
global,7,5.622974269234355,0.0,0,9950
global,8,5.622974307573021,0.0,0,9950
global,9,5.622974388850993,0.0,0,9950
global,10,5.622974301438835,0.0,0,9950
global,11,5.622974279969182,0.0,0,9950
global,12,5.622974249298249,0.0,0,9950
global,13,5.622974264633715,0.0,0,9950
global,14,5.622974396518726,0.0,0,9950
global,15,5.62297438118326,0.0,0,9950
global,16,5.622974229362143,0.0,0,9950
global,17,5.622974332109767,0.0,0,9950
global,18,5.622974322908488,0.0,0,9950
global,19,5.62297435357942,0.0,0,9950
global,20,5.35181381455618,0.0,0,9950
0,21,0.46550696032730177,100.0,9950,9950
0,21,nan,0.0,0,9950
global,21,5.3518137593485005,0.0,0,9950
global,22,5.351813788485886,0.0,0,9950
3,23,0.42931790902986,99.95979899497488,9946,9950
3,23,nan,0.0,0,9950
global,23,5.307317526352465,0.0,0,9950
global,24,5.307317572358865,0.0,0,9950
5,25,0.4550191334863404,99.95979899497488,9946,9950
5,25,nan,0.0,0,9950
global,25,5.307317546288572,0.0,0,9950
global,26,5.307317589227877,0.0,0,9950
9,27,0.3348426850477056,99.98994974874373,9949,9950
9,27,nan,0.0,0,9950
global,27,5.3073175401543855,0.0,0,9950
global,28,5.307317570825318,0.0,0,9950
10,29,0.4028241357851268,99.97989949748744,9948,9950
10,29,nan,0.0,0,9950
global,29,5.307317512550545,0.0,0,9950
global,30,5.307317532486652,0.0,0,9950
12,31,0.2878764489427883,100.0,9950,9950
12,31,nan,0.0,0,9950
global,31,5.307317603029797,0.0,0,9950
global,32,5.307317523285372,0.0,0,9950
15,33,0.3985015061153239,99.89949748743719,9940,9950
15,33,nan,0.0,0,9950
global,33,5.307317547822119,0.0,0,9950
global,34,5.307317570825318,0.0,0,9950
18,35,0.3288072762417434,99.98994974874373,9949,9950
18,35,nan,0.0,0,9950
global,35,5.307317578493051,0.0,0,9950
global,36,5.3073176291000905,0.0,0,9950
20,37,0.37624390472718816,99.91959798994975,9942,9950
20,37,nan,0.0,0,9950
global,37,5.307317590761424,0.0,0,9950
global,38,5.307317613764624,0.0,0,9950
24,39,0.5482029143290305,100.0,9950,9950
24,39,nan,0.0,0,9950
global,39,5.307317573892411,0.0,0,9950
global,40,5.307317500282172,0.0,0,9950
25,41,0.3558247726287075,98.6532663316583,9816,9950
25,41,nan,0.0,0,9950
global,41,5.307317595362064,0.0,0,9950
global,42,5.307317529419559,0.0,0,9950
30,43,0.4425858389312898,99.61809045226131,9912,9950
30,43,nan,0.0,0,9950
global,43,5.307317550889212,0.0,0,9950
global,44,5.307317538620839,0.0,0,9950
33,45,0.49013927191346135,100.0,9950,9950
33,45,nan,0.0,0,9950
global,45,5.3073175401543855,0.0,0,9950
global,46,5.307317596895611,0.0,0,9950
36,47,0.2738763576775939,100.0,9950,9950
