local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
37,1,1,1,0.05286855250597,35.075287865367585,396,1129
37,2,1,2,0.02513037994503975,63.24180690876883,714,1129
44,1,1,1,0.05973959341645241,22.0,385,1750
44,2,1,2,0.03592750430107117,36.22857142857143,634,1750
94,1,1,1,0.0558537095785141,20.216606498194945,336,1662
94,2,1,2,0.03408290445804596,34.59687123947052,575,1662
74,1,1,1,0.04262411966919899,33.698453608247426,523,1552
74,2,1,2,0.020990820601582527,48.38917525773196,751,1552
82,1,1,1,0.07703544199466705,11.0,55,500
82,2,1,2,0.0491926334798336,33.800000000000004,169,500
83,1,1,1,0.05497080832719803,20.327700972862264,397,1953
83,2,1,2,0.0342455729842186,38.24884792626728,747,1953
41,1,1,1,0.06287413090467453,44.22809457579972,318,719
41,2,1,2,0.030822960659861565,60.778859527121,437,719
65,1,1,1,0.05744403973221779,25.694915254237287,379,1475
65,2,1,2,0.030439171940088272,47.66101694915254,703,1475
26,1,1,1,0.05505189299583435,22.959889349930844,332,1446
26,2,1,2,0.0343448780477047,36.09958506224066,522,1446
24,1,1,1,0.07737482339143753,8.653846153846153,27,312
24,2,1,2,0.04087980464100838,54.166666666666664,169,312
94,3,2,1,0.05491117388010025,20.216606498194945,336,1662
94,4,2,2,0.03377455845475197,33.99518652226233,565,1662
71,3,2,1,0.06499427556991577,19.80440097799511,162,818
71,4,2,2,0.030544757843017578,46.21026894865526,378,818
66,3,2,1,0.06240428611636162,17.546362339514978,246,1402
66,4,2,2,0.03865627571940422,27.10413694721826,380,1402
35,3,2,1,0.0857992172241211,14.022140221402212,38,271
35,4,2,2,0.05669253692030907,36.162361623616235,98,271
38,3,2,1,0.06247968226671219,21.396993810786913,242,1131
38,4,2,2,0.03153771162033081,40.318302387267906,456,1131
84,3,2,1,0.06363897025585175,26.218487394957986,312,1190
84,4,2,2,0.03292045742273331,36.97478991596639,440,1190
42,3,2,1,0.05303529277443886,25.291545189504372,347,1372
42,4,2,2,0.030751444399356842,39.35860058309038,540,1372
43,3,2,1,0.0617779977619648,31.501057082452434,298,946
43,4,2,2,0.036238931119441986,37.63213530655391,356,946
11,3,2,1,0.05781945958733559,49.01685393258427,349,712
11,4,2,2,0.025409864261746407,57.865168539325836,412,712
95,3,2,1,0.051756925880908966,55.09181969949917,330,599
95,4,2,2,0.030465995892882347,81.80300500834724,490,599
