model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,1,5.352615012930865,0.0,0,9950
global,global_in_0_trigger,,1,5.343812936754083,0.0,0,9950
global,global_in_20_trigger,,1,5.343973814997841,0.0,0,9950
global,global_in_74_trigger,,1,5.343973778192721,0.0,0,9950
global,global_in_95_trigger,,1,5.3439737597901615,0.0,0,9950
20,20_trigger,,2,7.052364940547464,0.0,0,9950
95,95_trigger,,2,7.991536127598441,0.0,0,9950
global,combine,,2,5.304269530329872,0.0,0,9950
global,global_in_0_trigger,,2,5.309037417311165,0.0,0,9950
global,global_in_20_trigger,,2,5.309712398663238,0.0,0,9950
global,global_in_74_trigger,,2,5.309712403263878,0.0,0,9950
global,global_in_95_trigger,,2,5.309712426267078,0.0,0,9950
global,combine,,3,5.3182293486475345,0.0,0,9950
global,global_in_0_trigger,,3,5.324931987206541,0.0,0,9950
global,global_in_20_trigger,,3,5.3232560706977265,0.0,0,9950
global,global_in_74_trigger,,3,5.323256061496447,0.0,0,9950
global,global_in_95_trigger,,3,5.323256033892608,0.0,0,9950
global,combine,,4,5.289812615936126,0.0,0,9950
global,global_in_0_trigger,,4,5.301794077810929,0.0,0,9950
global,global_in_20_trigger,,4,5.299555952369269,0.0,0,9950
global,global_in_74_trigger,,4,5.29955587415839,0.0,0,9950
global,global_in_95_trigger,,4,5.29955585115519,0.0,0,9950
global,combine,,5,5.2912877160460505,0.0,0,9950
global,global_in_0_trigger,,5,5.305211917743012,0.0,0,9950
global,global_in_20_trigger,,5,5.303550651205245,0.0,0,9950
global,global_in_74_trigger,,5,5.3035507294161235,0.0,0,9950
global,global_in_95_trigger,,5,5.303550649671698,0.0,0,9950
global,combine,,6,5.296158855189031,0.0,0,9950
global,global_in_0_trigger,,6,5.309224878052372,0.0,0,9950
global,global_in_20_trigger,,6,5.308218546345007,0.0,0,9950
global,global_in_74_trigger,,6,5.308218500338607,0.0,0,9950
global,global_in_95_trigger,,6,5.30821854481146,0.0,0,9950
global,combine,,7,5.30400313487604,0.0,0,9950
global,global_in_0_trigger,,7,5.315037239113046,0.0,0,9950
global,global_in_20_trigger,,7,5.314443179950043,0.0,0,9950
global,global_in_74_trigger,,7,5.3144430772024185,0.0,0,9950
global,global_in_95_trigger,,7,5.314443095604978,0.0,0,9950
global,combine,,8,5.296301166783625,0.0,0,9950
global,global_in_0_trigger,,8,5.3048803296879905,0.0,0,9950
global,global_in_20_trigger,,8,5.304453936246173,0.0,0,9950
global,global_in_74_trigger,,8,5.304453925511345,0.0,0,9950
global,global_in_95_trigger,,8,5.304453974584838,0.0,0,9950
20,20_trigger,,9,6.808003526237143,0.0,0,9950
global,combine,,9,5.3031246442171796,0.0,0,9950
global,global_in_0_trigger,,9,5.311129714735788,0.0,0,9950
