local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
85,1,1,1,0.05436239019036293,21.88128772635815,435,1988
85,2,1,2,0.035568322986364365,32.99798792756539,656,1988
87,1,1,1,0.05834055691957474,25.81786030061892,292,1131
87,2,1,2,0.03195399418473244,35.190097259062775,398,1131
65,1,1,1,0.05555352196097374,26.101694915254235,385,1475
65,2,1,2,0.032681625336408615,41.898305084745765,618,1475
98,1,1,1,0.083208367228508,1.876675603217158,7,373
98,2,1,2,0.04917776957154274,41.28686327077748,154,373
55,1,1,1,0.057304684072732925,22.3155929038282,239,1071
55,2,1,2,0.029278360307216644,45.28478057889823,485,1071
56,1,1,1,0.08339152485132217,0.0,0,186
56,2,1,2,0.06750227510929108,32.25806451612903,60,186
28,1,1,1,0.0568544901907444,22.960151802656547,363,1581
28,2,1,2,0.03326914831995964,39.46869070208729,624,1581
94,1,1,1,0.055912528187036514,19.7352587244284,328,1662
94,2,1,2,0.033942967653274536,34.83754512635379,579,1662
16,1,1,1,0.06466695666313171,37.71186440677966,267,708
16,2,1,2,0.035331688821315765,60.16949152542372,426,708
80,1,1,1,0.07080355286598206,19.941348973607038,136,682
80,2,1,2,0.03850232809782028,35.33724340175953,241,682
65,3,2,1,0.05544520169496536,26.508474576271183,391,1475
65,4,2,2,0.03200244903564453,43.25423728813559,638,1475
48,3,2,1,0.07172635197639465,13.946117274167987,88,631
48,4,2,2,0.04114348068833351,33.914421553090335,214,631
44,3,2,1,0.059706542640924454,23.714285714285715,415,1750
44,4,2,2,0.03527648374438286,38.285714285714285,670,1750
24,3,2,1,0.07776432484388351,6.730769230769231,21,312
24,4,2,2,0.042038947343826294,51.28205128205128,160,312
25,3,2,1,0.05765920504927635,43.768115942028984,302,690
25,4,2,2,0.028288759291172028,66.23188405797102,457,690
20,3,2,1,0.05761992558836937,42.75092936802974,345,807
20,4,2,2,0.032158106565475464,51.42503097893433,415,807
86,3,2,1,0.06447181105613708,35.194416749750744,353,1003
86,4,2,2,0.03413441404700279,38.48454636091725,386,1003
29,3,2,1,0.04940275102853775,29.375,423,1440
29,4,2,2,0.028281312435865402,45.69444444444444,658,1440
7,3,2,1,0.053568463772535324,38.94500561167228,347,891
7,4,2,2,0.02640032023191452,49.158249158249156,438,891
95,3,2,1,0.05168428272008896,54.757929883138566,328,599
95,4,2,2,0.02938588336110115,81.80300500834724,490,599
77,5,3,1,0.05417440086603165,23.80597014925373,319,1340
77,6,3,2,0.026963476091623306,43.88059701492537,588,1340
59,5,3,1,0.05353661999106407,27.364554637281913,298,1089
59,6,3,2,0.02893301099538803,40.22038567493113,438,1089
8,5,3,1,0.06009272485971451,16.259087904824852,246,1513
8,6,3,2,0.036325544118881226,34.699272967614014,525,1513
86,5,3,1,0.06332739442586899,36.191425722831504,363,1003
86,6,3,2,0.03399436175823212,39.18245264207378,393,1003
97,5,3,1,0.0524255596101284,28.606760098928273,347,1213
97,6,3,2,0.027181964367628098,40.3957131079967,490,1213
14,5,3,1,0.06291645765304565,21.02665350444225,213,1013
14,6,3,2,0.03618180751800537,32.08292201382034,325,1013
4,5,3,1,0.062288638204336166,36.18201997780244,326,901
4,6,3,2,0.03380140662193298,44.61709211986681,402,901
70,5,3,1,0.05570167303085327,23.695345557122707,336,1418
70,6,3,2,0.030405672267079353,46.897038081805356,665,1418
96,5,3,1,0.07851899415254593,15.434083601286176,48,311
96,6,3,2,0.05382870137691498,43.40836012861736,135,311
